Doculect	Concept	Form
Zaparo	ALL	
Zaparo	AND	
Zaparo	ANIMAL	
Zaparo	ASH	
Zaparo	AT	
Zaparo	BACK	
Zaparo	BAD	
Zaparo	BARK	
Zaparo	BECAUSE	
Zaparo	BELLY	
Zaparo	BERRY	
Zaparo	BIG	
Zaparo	BIRD	
Zaparo	BITE	
Zaparo	BLACK	
Zaparo	BLOOD	
Zaparo	BLOW (OF WIND)	
Zaparo	BONE	
Zaparo	BREATHE	
Zaparo	BURNING	
Zaparo	CHILD (YOUNG HUMAN)	
Zaparo	CLOUD	
Zaparo	COLD (OF WEATHER)	
Zaparo	COME	
Zaparo	COUNT	
Zaparo	CUT	
Zaparo	DAY (NOT NIGHT)	
Zaparo	DIE	
Zaparo	DIG	
Zaparo	DIRTY	
Zaparo	DOG	
Zaparo	DRINK	
Zaparo	DRY	
Zaparo	BLUNT	
Zaparo	DUST	
Zaparo	EAR	
Zaparo	EARTH (SOIL)	
Zaparo	EAT	
Zaparo	EGG	
Zaparo	EYE	
Zaparo	FALL	
Zaparo	FAR	
Zaparo	FAT (ORGANIC SUBSTANCE)	
Zaparo	FATHER	
Zaparo	FEAR (BE AFRAID)	
Zaparo	FEATHER	
Zaparo	FEW	
Zaparo	FIGHT	
Zaparo	FIRE	
Zaparo	FISH	
Zaparo	FIVE	
Zaparo	FLOAT	
Zaparo	FLOW	
Zaparo	FLOWER	
Zaparo	FLY (MOVE THROUGH AIR)	
Zaparo	FOG	
Zaparo	FOOT	
Zaparo	FOUR	
Zaparo	FREEZE	
Zaparo	GIVE	
Zaparo	GOOD	
Zaparo	GRASS	
Zaparo	GREEN	
Zaparo	GUTS	
Zaparo	HAIR	
Zaparo	HAND	
Zaparo	HE	
Zaparo	HEAD	
Zaparo	HEAR	
Zaparo	HEART	
Zaparo	HEAVY	
Zaparo	HERE	
Zaparo	HIT	
Zaparo	HOLD	
Zaparo	HOW	
Zaparo	HUNT	
Zaparo	HUSBAND	
Zaparo	I	
Zaparo	ICE	
Zaparo	IF	
Zaparo	IN	
Zaparo	KILL	
Zaparo	KNOW (SOMETHING)	
Zaparo	LAKE	
Zaparo	LAUGH	
Zaparo	LEAF	
Zaparo	LEFT	
Zaparo	LEG	
Zaparo	LIE (REST)	
Zaparo	BE ALIVE	
Zaparo	LIVER	
Zaparo	LONG	
Zaparo	LOUSE	
Zaparo	MALE PERSON	
Zaparo	MANY	
Zaparo	FLESH OR MEAT	
Zaparo	MOTHER	
Zaparo	MOUNTAIN	
Zaparo	MOUTH	
Zaparo	NAME	
Zaparo	NARROW	
Zaparo	NEAR	
Zaparo	NECK	
Zaparo	NEW	
Zaparo	NIGHT	
Zaparo	NOSE	
Zaparo	NOT	
Zaparo	OLD	
Zaparo	ONE	
Zaparo	OTHER	
Zaparo	PERSON	
Zaparo	PLAY	
Zaparo	PULL	
Zaparo	PUSH	
Zaparo	RAIN (RAINING)	
Zaparo	RED	
Zaparo	CORRECT (RIGHT)	
Zaparo	RIGHT	
Zaparo	RIVER	
Zaparo	ROAD	
Zaparo	ROOT	
Zaparo	ROPE	
Zaparo	ROTTEN	
Zaparo	RUB	
Zaparo	SALT	
Zaparo	SAND	
Zaparo	SAY	
Zaparo	SCRATCH	
Zaparo	SEA	
Zaparo	SEE	
Zaparo	SEED	
Zaparo	SEW	
Zaparo	SHARP	
Zaparo	SHORT	
Zaparo	SING	
Zaparo	SIT	
Zaparo	SKIN (HUMAN)	
Zaparo	SKY	
Zaparo	SLEEP	
Zaparo	SMALL	
Zaparo	SMELL (PERCEIVE)	
Zaparo	SMOKE (EXHAUST)	
Zaparo	SMOOTH	
Zaparo	SNAKE	
Zaparo	SNOW	
Zaparo	SOME	
Zaparo	SPIT	
Zaparo	SPLIT	
Zaparo	SQUEEZE	
Zaparo	STAB	
Zaparo	STAND	
Zaparo	STAR	
Zaparo	STICK	
Zaparo	STONE	
Zaparo	STRAIGHT	
Zaparo	SUCK	
Zaparo	SUN	
Zaparo	SWELL	
Zaparo	SWIM	
Zaparo	TAIL	
Zaparo	THAT	
Zaparo	THERE	
Zaparo	THEY	
Zaparo	THICK	
Zaparo	THIN	
Zaparo	THINK	
Zaparo	THIS	
Zaparo	THOU	
Zaparo	THREE	
Zaparo	THROW	
Zaparo	TIE	
Zaparo	TONGUE	
Zaparo	TOOTH	
Zaparo	TREE	
Zaparo	TURN AROUND	
Zaparo	TWO	
Zaparo	VOMIT	
Zaparo	WALK	
Zaparo	WARM (OF WEATHER)	
Zaparo	WASH	
Zaparo	WATER	
Zaparo	WE	
Zaparo	WET	
Zaparo	WHAT	
Zaparo	WHEN	
Zaparo	WHERE	
Zaparo	WHITE	
Zaparo	WHO	
Zaparo	WIDE	
Zaparo	WIFE	
Zaparo	WIND	
Zaparo	WING	
Zaparo	WIPE	
Zaparo	WITH	
Zaparo	WOMAN	
Zaparo	FOREST	
Zaparo	WORM	
Zaparo	YOU	
Zaparo	YEAR	
Zaparo	YELLOW	
