Doculect,Concept,Form
Bora,98,
Bora,1577,
Bora,619,
Bora,646,
Bora,1461,
Bora,1291,
Bora,1292,
Bora,1204,
Bora,1157,
Bora,1251,
Bora,904,
Bora,1202,
Bora,937,
Bora,1403,
Bora,163,
Bora,946,
Bora,175,
Bora,1394,
Bora,1407,
Bora,1428,
Bora,1304,
Bora,1489,
Bora,2483,
Bora,1446,
Bora,1420,
Bora,1432,
Bora,1225,
Bora,1494,
Bora,1418,
Bora,1230,
Bora,2009,
Bora,1401,
Bora,1398,
Bora,379,
Bora,2,
Bora,1247,
Bora,1228,
Bora,1336,
Bora,744,
Bora,1248,
Bora,1280,
Bora,1406,
Bora,323,
Bora,1217,
Bora,1419,
Bora,1201,
Bora,1242,
Bora,1423,
Bora,221,
Bora,227,
Bora,493,
Bora,1574,
Bora,2003,
Bora,239,
Bora,1441,
Bora,249,
Bora,1301,
Bora,1500,
Bora,1431,
Bora,1447,
Bora,1035,
Bora,606,
Bora,1425,
Bora,1334,
Bora,1040,
Bora,1277,
Bora,1211,
Bora,1256,
Bora,1408,
Bora,1223,
Bora,1210,
Bora,136,
Bora,1433,
Bora,1448,
Bora,1239,
Bora,1435,
Bora,1200,
Bora,1209,
Bora,617,
Bora,1459,
Bora,1460,
Bora,1417,
Bora,1410,
Bora,624,
Bora,1355,
Bora,628,
Bora,244,
Bora,1297,
Bora,1411,
Bora,1422,
Bora,1224,
Bora,1203,
Bora,1392,
Bora,2106,
Bora,1198,
Bora,2615,
Bora,1216,
Bora,639,
Bora,674,
Bora,1405,
Bora,1267,
Bora,1942,
Bora,1333,
Bora,1231,
Bora,1233,
Bora,1221,
Bora,1240,
Bora,1229,
Bora,1493,
Bora,197,
Bora,683,
Bora,1413,
Bora,1455,
Bora,1452,
Bora,1253,
Bora,156,
Bora,1725,
Bora,1019,
Bora,666,
Bora,667,
Bora,670,
Bora,1218,
Bora,1728,
Bora,1449,
Bora,1274,
Bora,671,
Bora,1458,
Bora,1436,
Bora,1474,
Bora,1409,
Bora,714,
Bora,1457,
Bora,1396,
Bora,1645,
Bora,1261,
Bora,1416,
Bora,2613,
Bora,1732,
Bora,1585,
Bora,1246,
Bora,1586,
Bora,778,
Bora,1234,
Bora,730,
Bora,784,
Bora,1241,
Bora,1440,
Bora,1437,
Bora,1414,
Bora,1434,
Bora,1442,
Bora,1430,
Bora,1295,
Bora,857,
Bora,1404,
Bora,1421,
Bora,1343,
Bora,1573,
Bora,1439,
Bora,1220,
Bora,78,
Bora,1937,
Bora,817,
Bora,1244,
Bora,2308,
Bora,2271,
Bora,1214,
Bora,1215,
Bora,492,
Bora,1456,
Bora,1917,
Bora,1205,
Bora,1380,
Bora,906,
Bora,1444,
Bora,1498,
Bora,1278,
Bora,1443,
Bora,2110,
Bora,1453,
Bora,948,
Bora,1212,
Bora,1726,
Bora,1236,
Bora,1238,
Bora,1237,
Bora,1335,
Bora,1235,
Bora,1243,
Bora,1199,
Bora,960,
Bora,1257,
Bora,1454,
Bora,1340,
Bora,962,
Bora,420,
Bora,1219,
Bora,1213,
Bora,1226,
Bora,1424,
