Doculect	Concept	Form	Note	Gloss
Yanesha	ANIMAL	oʎwa		animal
Yanesha	DOG	ot͡ʃek		dog
Yanesha	BIRD	otʲ		bird
Yanesha	SNAKE	ʃet͡ʃepʲ		snake
Yanesha	FISH	kak		fish (noun)
Yanesha	LOUSE	oʎ		louse
Yanesha	WORM	oʎot͡ʃaɾe		worm (earthworm)
Yanesha	GRASS	taˀteˀ		grass
Yanesha	TREE	sat͡s		tree
Yanesha	NAME	sot͡ʃɲet͡s		name
Yanesha	FATHER	apaˀ		father
Yanesha	MOTHER	at͡ʃ		mother
Yanesha	HUSBAND	ɽoʎaɾet͡s		husband
Yanesha	WIFE	t͡ʃapoɾet͡s		wife
Yanesha	MALE PERSON	aʃeɲor / jakma		man (male)
Yanesha	WOMAN	kojaneʃa / jakma		woman
Yanesha	CHILD (YOUNG HUMAN)	t͡ʃeʃa		child
Yanesha	PERSON	at͡ʃeɲ		person (humano)
Yanesha	HEAD	poɲ		head
Yanesha	EAR	jet / etat͡s		ear
Yanesha	EYE	keʎojet͡s		eye
Yanesha	NOSE	poemaʎant		nose
Yanesha	MOUTH	namoet͡s /poenam		mouth
Yanesha	TONGUE	neɲet͡s		tongue
Yanesha	TOOTH	asot͡s / paˀs		tooth (front)
Yanesha	NECK	tʂenopets		neck
Yanesha	BELLY	kotmat͡s		belly
Yanesha	BACK	tʃeˀɲets		back (of body)
Yanesha	TAIL	pasmeʎ		tail
Yanesha	LEG	tʲapats		leg
Yanesha	FOOT	tekat͡s patek		foot
Yanesha	WING	pʼapoe		wing
Yanesha	HAND	otats / ʎot / not / pʲot / sot		hand
Yanesha	HEART	ʎot͡ʃeret͡s		heart
Yanesha	GUTS	pat͡ʃoret͡ʂ		guts
Yanesha	LIVER	popan		liver
Yanesha	BONE	poenop		bone
Yanesha	FLESH OR MEAT	et͡ʂ		meat (flesh)
Yanesha	FAT (ORGANIC SUBSTANCE)	posé		fat (grease)
Yanesha	SKIN (HUMAN)	paɽam		skin (of person)
Yanesha	HAIR	et͡ʃet͡s / poet͡ʃ		hair
Yanesha	FEATHER	papoé / aʎaɽa		feather (large)
Yanesha	BLOOD	poʀas / ʀasot͡s		blood
Yanesha	ROOT	poeɽet͡ʂ		root
Yanesha	BARK	pataʝ		bark (of tree)
Yanesha	LEAF	aspán		leaf
Yanesha	FLOWER	ɾoɾ		flower
Yanesha	BERRY	at͡ssomapó/  aʀapo / naɾmet͡s		fruit (berry)
Yanesha	SEED	poepoeɾe / poeɾet͡s		seed
Yanesha	STICK	sat͡ʃ / sat͡ʃep / t͡ʃesap		stick (of wood)
Yanesha	ASH	sapoeɲ		ashes
Yanesha	MOUNTAIN	aspenet͡ʃ		mountain
Yanesha	FOREST	poetsat͡ʃ		woods (forest)
Yanesha	RIVER	ontáp / poɲés / onsás		river
Yanesha	LAKE	sapset͡s		lake
Yanesha	SEA	sap		sea
Yanesha	WATER	oɲ		water
Yanesha	ICE	unt / sose / et͡ʃaɽ		Ice
Yanesha	FIRE	tsoˀ		fire
Yanesha	SMOKE (EXHAUST)	amos		smoke (noun)
Yanesha	EARTH (SOIL)	pat͡s		earth (soil)
Yanesha	DUST	paɲeˀteˀ		dust
Yanesha	SAND	mʷeɲ		sand
Yanesha	STONE	mapʷeˀ		stone
Yanesha	ROAD	tʲoːɲ		road (path)
Yanesha	EGG	paˀmeˀ		egg
Yanesha	RAIN (RAINING)	oˀ		rain
Yanesha	SNOW			snow
Yanesha	FOG	oʰsaːɾets		fog
Yanesha	SKY	enet		sky
Yanesha	CLOUD	oʰs		cloud
