Doculect	Concept	Form	Notes
Chibito	TONGUE	moaltsǔ (malsu)	Tessmann: Zunge
Chibito	TOOTH	dzuī (tui)	Tessmann: Zahn
Chibito	EYE	montsá (mantsá)	Tessmann: Auge
Chibito	EAR	otšī (otšji)	Tessmann: Ohr
Chibito	HEAD	sótša	Tessmann: Kopf
Chibito	HAND	nūl	Tessmann: Hand
Chibito	WATER	otšj	Tessmann: Wasser
Chibito	FIRE	olho' (utšj)	Tessmann: Feuer
Chibito	SUN	nim (njim)	Tessmann: Sonne
Chibito	STONE	tšē	Tessmann: Stein
Chibito	WOMAN	udū, alu	Tessmann: Frau
Chibito	DOG	šu'	Tessmann: Hund
Chibito	STICK	mitš	Tessmann: Stock
Chibito	ONE	etsí	Tessmann: eins
Chibito	TWO	optšē	Tessmann: zwei
Chibito	THREE	útsi	Tessmann: drei
Chibito	WHITE	utsūtš (atsutš)	Tessmann: weiß
Chibito	BLACK	utsálmana	Tessmann: schwarz
Chibito	RED	mútsmana	Tessmann: rot
Omurano	TONGUE	nateto	Tessmann: Zunge
Omurano	TOOTH	nanani	Tessmann: Zahn
Omurano	EYE	(a)natn̄n	Tessmann: Auge
Omurano	EAR	(a)natsḗi̯yo	Tessmann: Ohr
Omurano	HEAD	naneyalok	Tessmann: Kopf
Omurano	HAND	(a)na̯óra	Tessmann: Hand
Omurano	WATER	tówă	Tessmann: Wasser
Omurano	FIRE	ínjo	Tessmann: Feuer
Omurano	SUN	hḗ̠na	Tessmann: Sonne
Omurano	STONE	tiṓkn	Tessmann: Stein
Omurano	WOMAN	mpárawan	Tessmann: Frau
Omurano	DOG	maladží	Tessmann: Hund
Omurano	STICK	áă	Tessmann: Stock
Omurano	ONE	naθŏ́ro	Tessmann: eins
Omurano	TWO	θṓoro	Tessmann: zwei
Omurano	THREE	ononṍ̠o̠n	Tessmann: drei
Omurano	WHITE	tšalama	Tessmann: weiß
Omurano	BLACK	pitšama	Tessmann: schwarz
Omurano	RED	rav̠ima	Tessmann: rot
Omurano	HAIR	anána	Tessmann: Haar
Omurano	NOSE	analáma	Tessmann: Nase
Omurano	MOUTH	anar̥á͜u	Tessmann: Mund
Omurano	NECK	anaṓni	Tessmann: Hals
Omurano	BACK	anaθáb̯a	Tessmann: Rücken
Omurano	BELLY	anaθawuápa	Tessmann: Bauch
