ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1	98	ALL				
2	1577	AND	ka̰ 	 plant sp.;  unidentified;  and;  a wild plant yielding small;  sweet red fruits	 and	and-1
3	1577	AND	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋ 	 and	 and	and-2
4	1577	AND	rǜ(∼ dǜ)  	 and	 and	and-3
5	619	ANIMAL	-ēʼü̃̀ 	 [+tr.] animal	 [+tr.] animal	tranimal-1
6	646	ASH				
7	1461	AT				
8	1291	BACK				
9	1292	BAD	chiʼ̂è  	 be bad	 be bad	bebad-1
10	1204	BARK	g̃ȕʼu  	 bark	 bark	bark-1
11	1422	BE ALIVE				
12	1157	BECAUSE	ērǘ∼ ngērǘ 	 because	 because	because-1
13	1157	BECAUSE	ye̊rǘ 	 because (pre-hod. past)	 because (pre-hod. past)	becauseprehodpast-1
14	1251	BELLY	-pǜtǖwē 	 belly	 belly	belly-1
15	904	BERRY				
16	1202	BIG	tá 	 be big	 be big	bebig-1
17	937	BIRD				
18	1403	BITE	bü̆ʼü  	 bite	 bite	bite-1
19	1403	BITE	chí 	 bite	 bite	bite-2
20	1403	BITE	ngo̰ 	 bite	 bite	bite-3
21	163	BLACK				
22	946	BLOOD				
23	175	BLOW (OF WIND)				
24	379	BLUNT				
25	1394	BONE	-ʼchin̋ aʼ̰ a  	 bone	 bone	bone-1
26	1407	BREATHE				
27	1428	BURNING				
28	1304	CHILD (YOUNG HUMAN)				
29	1489	CLOUD				
30	2483	COLD (OF WEATHER)				
31	1446	COME				
32	1725	CORRECT (RIGHT)				
33	1420	COUNT				
34	1432	CUT	wȉ 	 cut	 cut	cut-1
35	1225	DAY (NOT NIGHT)				
36	1494	DIE	yŭ 	 die	 die	die-1
37	1418	DIG				
38	1230	DIRTY	ǜʼà 	 be dirty	 be dirty	bedirty-1
39	2009	DOG	âirű 	 dog	 dog	dog-1
40	1401	DRINK	àʼü  	 drink	 drink	drink-1
41	1398	DRY	pá 	 be dry	 be dry	bedry-1
42	2	DUST				
43	1247	EAR				
44	1228	EARTH (SOIL)				
45	1336	EAT	chib́ ǜ  	 eat	 eat	eat-1
46	1336	EAT	mṵ 	 eat (a raw fruit)	 eat (a raw fruit)	eatarawfruit-1
47	744	EGG				
48	1248	EYE	-ʼétǜ 	 [-tr.] eye	 [-tr.] eye	treye-1
49	1280	FALL	g̃û  	 fall (sg.)	 fall (sg.)	fallsg-1
50	1280	FALL	yì 	 fall (pl.);  grow (pl.)	 fall (pl.)	fallpl-1
51	1406	FAR	kòi̋(?)  	 far away (?)	 far away (?)	faraway-1
52	1406	FAR	yȁʼnàc. 	 far away	 far away	faraway-2
53	323	FAT (ORGANIC SUBSTANCE)				
54	1217	FATHER	-nátǖ 	 [-tr.] father	 [-tr.] father	trfather-1
55	1217	FATHER	pāpa̋ 	 dad	 dad	dad-1
56	1419	FEAR (BE AFRAID)	múü̃̀ 	 be afraid	 be afraid	beafraid-1
57	1201	FEATHER				
58	1242	FEW	nôʼré 	 be few	 be few	befew-1
59	1423	FIGHT				
60	221	FIRE				
