Concept	Form
Zunge	moaltsǔ (malsu)
Zahn	dzuī (tui)
Auge	montsá (mantsá)
Ohr	otšī (otšji)
Kopf	sótša
Hand	nūl
Wasser	otšj
Feuer	olho' (utšj)
Sonne	nim (njim)
Mond	winžö̆́
Erde (Erdboden)	puts
Stein	tšē
Haus (Wohn-)	īp
Topf- (Koch-)	tsehē
Kanu	jat
Mann	nūm (nun)
Frau	udū, alu
Huhn	ūdšpa
Hund	šu'
Jaguar	tšāla
Tapir (sachavaca)	satšauaa̯
Kaiman	šontí
Stock	mitš
Maniok	tsö̠̆
Mais	ántsa
Plante	palónta
Tabak	pē̠s
eins	etsí
zwei	optšē
drei	útsi
weiß	utsūtš (atsutš)
schwarz	utsálmana
rot	mútsmana
