Concept	Form
Zunge	axlī́ū
Zahn	āka
Auge	atū́ka̯
Ohr	otoroã
Kopf	awarēkě
Hand	akokī́wǎ
Wasser	wā́ē
Feuer	yaha̯ó̄n̊
Sonne	akro̯ā́k
Mond	ȫ́sa
Erde (Erdboden)	ok'ā́kě
Stein	noklo̯ā́xe̯
Haus (Wohn-)	aktū́a
Topf (Koch-)	notapáwa
Mann	kunasápě
Frau	aslanḗ
Jaguar	miyā́lě
Tapir	sā́xě
Kaiman	atšipa
Stock	áwa
Maniok	kasáa
Mais	sukā́la
Plante	ad̥ā́a
eins	ismáwa
zwei	kisnáõ
drei	akū́wa
weiß	sukḗe
schwarz	lō'āk
rot	taxḗkiǎ
Penis	kǒʋā́ka
Gesäß	koxī́i̯
Anus	koolā́xa
Vulva	košṓi
