Doculect,Concept,Segments
bora1263,TONGUE,"['n', '!ɨ́/ɨ', '!ɨ́/ɨ', 'h', 'ɨ', '+', 'kʷ', 'a']"
muin1242,TONGUE,"['n', '!é/e', 'h', 'e', '+', 'b', 'a']"
bora1263,MOUTH,"['!í/i', 'ʔ', '+', 'hʲ', 'ɯ', '!ɯ́/ɯ']"
muin1242,MOUTH,"['!í/i', 'i', '+', 'h', 'ɨ']"
bora1263,TOOTH,"['!í/i', 'ʔ', 'kʷ', '!á/a', 'h', 'ɨ', '!ɨ́/ɨ']"
muin1242,TOOTH,"['!í/i', '!í/i', 'g', 'a', 'i']"
bora1263,NOSE,"['tʰ', '!ɯ́/ɯ', '+', 'h', 'ɯ', '+', 'ʔ', 'o']"
muin1242,NOSE,"['t', '!ɨ́/ɨ', 'h', 'ɨ', '+', 'ʔ', 'u']"
bora1263,EYE,"['ʔ', '!á/a', 'tʃ', 'ɯ', '+', 'ɯ']"
muin1242,EYE,"['!á/a', '!á/a', 'dʒ', 'ɨ', '+', 'ɨ']"
bora1263,EAR,"['n', '!ɯ́/ɯ', '!ɯ́/ɯ', '+', 'm', 'ɨ', 'ʔ', 'o']"
muin1242,EAR,"['n', '!ɨ́/ɨ', '+', 'h', 'ɨ', '+', 'm', 'e', 'e', 'ʔ', 'u']"
bora1263,HEAD,"['n', '!í/i', '!í/i', 'kʷ', 'a', '+', 'ɯ']"
muin1242,HEAD,"['n', '!í/i', 'g', 'a', '+', 'ɨ']"
bora1263,HAIR,"['ɨ', 'ʔ', '+', 'h', 'ɨ', 'n', 'e']"
muin1242,HAIR,"['n', '!í/i', 'g', 'a', 'ɨ', '+', 'h', 'e', 'e', '+', 'n', 'e']"
bora1263,BELLY,"['!í/i', 'ʔ', 'p', '!á/a', '+', 'ɯ']"
muin1242,BELLY,"['!í/i', '!í/i', 'b', 'a']"
bora1263,HAND,"['ʔ', '!ó/o', 'h', 'tsʰ', 'ɨ', '!ɨ́/ɨ']"
muin1242,HAND,"['!ú/u', 's', 'e']"
bora1263,FOOT,"['h', 'tʰ', '!ɯ́/ɯ', '+', 'ʔ', 'a', '!á/a']"
muin1242,FOOT,"['t', '!ɨ́/ɨ', '+', 'ʔ', 'a', 'i']"
bora1263,BONE,"['p', '!á/a', 'h', 'kʰ', 'ɯ', '!ɯ́/ɯ']"
muin1242,BONE,"['b', '!á/a', 'k', 'k', 'ɨ']"
bora1263,BLOOD,"['tʰ', '!ɯ́/ɯ', '+', 'h', 'pʰ', 'a', 'kʰʲ', 'o']"
muin1242,BLOOD,"['t', '!ɨ́/ɨ', '!ɨ́/ɨ', '+', 'h', '!ó/o', 'ʔ', 'o']"
bora1263,HEART,"['!ɨ́/ɨ', '!ɨ́/ɨ', 'p', 'ɯ', '+', 'ɯ']"
muin1242,HEART,"['h', '!é/e', 'e', 'b', 'ɨ', '+', 'ɨ']"
bora1263,WOMAN,"['kʷ', 'a', '+', 'tʃ', 'e']"
muin1242,WOMAN,"['g', '!á/a', '!í/i', '+', 'g', 'o']"
bora1263,HUSBAND,"['tʰ', 'a', 'h', 'ɨ']"
muin1242,HUSBAND,"['t', '!á/a', 'h', 'e']"
bora1263,WIFE,"['tʰ', 'a', '!á/a', 'p', 'a']"
muin1242,WIFE,"['t', '!á/a', 'a', 'b', 'a']"
bora1263,FATHER,"['tʃ', 'i', 'ʔ', '!í/i', 'j', 'o']"
bora1263,FATHER,"['kʰ', 'a', 'a', 'n', 'i']"
muin1242,FATHER,"['g', '!í/i', 'ʔ', '!í/i', 'r', 'u', 'b', 'i']"
muin1242,FATHER,"['k', '!á/a', '!á/a', 'n', 'i']"
bora1263,MOTHER,"['kʷ', 'a', 'ʔ', '!á/a', 'r', 'o']"
bora1263,MOTHER,"['tsʰ', '!ɨ́/ɨ', '!ɨ́/ɨ', 'h', 'ɯ']"
muin1242,MOTHER,"['g', '!á/a', 'ʔ', '!á/a', 'r', 'u', 'b', 'i']"
muin1242,MOTHER,"['s', '!é/e', '!é/e', 'h', 'ɨ']"
bora1263,WATER,"['n', '!ɯ́/ɯ', '+', 'h', 'pʰ', 'a', 'kʰʲ', 'o']"
muin1242,WATER,"['n', '!ɨ́/ɨ', '+', 'ɸ', '!á/a', '!í/i', 'ʔ', 'u']"
bora1263,RIVER,"['tʰ', 'e', '!é/e', '+', 'ʔ', 'i']"
muin1242,RIVER,"['t', '!é/e', '!é/e', '+', 'ʔ', 'i']"
muin1242,RIVER,"['m', '!ú/u', '!ú/u', 'a', 'i']"
bora1263,FIRE,"['kʰ', '!ɯ́/ɯ', '!ɯ́/ɯ', 'h', 'ɯ', '+', 'kʷ', 'a']"
muin1242,FIRE,"['k', '!ɨ́/ɨ', 'ɨ', 'h', 'ɨ', '+', 'g', 'a', 'i']"
bora1263,ASH,"['p', '!á/a', '+', 'tʃ', 'i', '!í/i', 'hʲ', 'ɯ']"
muin1242,ASH,"['b', 'a', 'i', '+', 'g', '!í/i', '!í/i', 'h', 'ɨ']"
