Doculect	Concept	Form
Aguaruna	ALL	aʃi
Aguaruna	ANIMAL	kuntin
Aguaruna	ASH	juku
Aguaruna	BACK	tuntup
Aguaruna	BAD	katsɨk
Aguaruna	BARK	saɨpɨ
Aguaruna	BECAUSE	wagkapa
Aguaruna	BELLY	tantan
Aguaruna	BIG	muun
Aguaruna	BIRD	piʃak
Aguaruna	BITE	ɨsat
Aguaruna	BLACK	bukusɨa
Aguaruna	BLOOD	numpa
Aguaruna	BLOW (OF WIND)	umpuut
Aguaruna	BLUNT	sujuhu
Aguaruna	BONE	ukuntʃ
Aguaruna	BREATHE	majatut
Aguaruna	CLOUD	juhagkim
Aguaruna	COME	minit
Aguaruna	CORRECT (RIGHT)	bɨtɨk
Aguaruna	DAY (NOT NIGHT)	tsawan
Aguaruna	DIE	hakau
Aguaruna	DIRTY	tsuwat
Aguaruna	DOG	jawa
Aguaruna	DRINK	umut
Aguaruna	DRY	buku
Aguaruna	DUST	jukuukuntu
Aguaruna	EAR	kuwiʃ
Aguaruna	EARTH (SOIL)	nugka
Aguaruna	EAT	juwamu
Aguaruna	EGG	nuhin
Aguaruna	EYE	hii
Aguaruna	FALL	ijaut
Aguaruna	FAR	atuʃat
Aguaruna	FEATHER	uhɨ
Aguaruna	FEW	uhumak
Aguaruna	FIRE	hii_kɨɨku
Aguaruna	FISH	namak
Aguaruna	FIVE	uwɨha_amua
Aguaruna	FLOWER	jagkug
Aguaruna	FLY (MOVE THROUGH AIR)	kaap
Aguaruna	FOOT	dawɨ
Aguaruna	FOUR	ipak_usumat
Aguaruna	GIVE	suwamu
Aguaruna	GOOD	pɨgkɨg
Aguaruna	GRASS	dupa
Aguaruna	FAT (ORGANIC SUBSTANCE)	wija
Aguaruna	GREEN	samɨkbau
Aguaruna	HAIR	intaʃ
Aguaruna	HAND	uwɨh
Aguaruna	HEAD	buuk
Aguaruna	HEAR	antut
Aguaruna	HEART	anɨntai
Aguaruna	HEAVY	kihin
Aguaruna	HERE	jui
Aguaruna	HIT	awatut
Aguaruna	HOW	wahuk
Aguaruna	I	wi
Aguaruna	IF	ɨʔɨ
Aguaruna	IN	initak
Aguaruna	KILL	maut
Aguaruna	LAUGH	duʃiamu
Aguaruna	LEAF	duka
Aguaruna	LEFT	mɨna
Aguaruna	BE ALIVE	puhut
Aguaruna	LIVER	akap
Aguaruna	LONG	ɨsaham
Aguaruna	LOUSE	tɨma
Aguaruna	MANY	kuaʃat
Aguaruna	MOUNTAIN	nain
Aguaruna	MOUTH	wɨnu
Aguaruna	NAME	daahi
