# Wordlist

# DATA
ID	DOCULECT	VALUE	FORM	CONCEPT	TOKENS	COGID	MORPHEMES	ALIGNMENT	NOTE
#
78	Iquito	kí=	kí=	I	k !í/i	2		k !í/i - -	I
283	Ocaina	xõ	xõ	I	x !õ/o	2		x !õ/o - -	
284	Ocaina	xõɯ̃	xõɯ̃	I	x !õ/o !ɯ̃/ɯ	2		x !õ/o - !ɯ̃/ɯ	
507	Resigaro	n̥ó	n̥ó	I	n̥ !ó/o	9		n̥ !ó/o	
691	WitotoMinica	kúe	kúe	I	k !ú/u e	2		k !ú/u - e	
908	WitotoMurui	kue	kue	I	k u e	2		k u - e	
1114	WitotoNipode	kúe	kúe	I	k !ú/u e	2		k !ú/u - e	
1309	Aguaruna	wi	wi	I	w i	1		w i	
1443	Arabela	kwa	kwa	I	k ua	2		k ua - -	
1567	Candoshi-Shapra	nowa	nowa	I	n o w a	4		n o w a	
1683	Chayahuita	ka	ka	I	k a	2		k a - -	
1808	Muniche	aʔpaʔnɨ	aʔpaʔnɨ	I	a ʔ p a ʔ n ɨ	8		a ʔ p a ʔ n ɨ	
1922	Taushiro	ujo	ujo	I	u j o	11		u j o	
2026	Waorani	botõ	botõ	I	b o t !õ/o	12		b o t !õ/o	
2236	Proto-Bora-Muinane	uu	uu	I	u u	3		u - - - - u	
2237	Bora	oó	oó	I	o !ó/o	3		o - - - - !ó/o	
2238	Muinane	úú-hóʔo	úú-hóʔo	I	!ú/u !ú/u h !ó/o ʔ o	3		!ú/u !ú/u h !ó/o ʔ o	
2636	AchuarShiwiar	wi	wi	I	v i	1		v i	
2770	Andoa	kijá	kijá	I	k i h !á/a	2		k i h !á/a	
2826	Canichana	oxale	oxale	I	o h a l e	5		o h a l e	
2920	Juri	tshuu	tshuu	I	ts u u	7		ts u u	Martius: ego
2921	Juri	súu	súu	I	s !ú/u u	7		s !ú/u u	Martius: ego
3048	Coeruna	coáe	coáe	I	k o !á/a e	6		k o !á/a e	Martius: ego
3144	MiranhaCarapana-Tapuya	cui	cui	I	k u i	2		k u - i	Martius: ego
3257	Shiwilu	kenmu’	kenmu’	I	kˀ ə n m u ʔ	10		kˀ ə n m u ʔ	inclusive form
3258	Shiwilu	kua	kua	I	kʷ a	2		kʷ a - -	exclusive form
3438	Shuar	wi	wi	I	w i	1		w i	
3751	Urarina	kan̪ɨ̃́	kan̪ɨ̃́	I	k a n !̪ɨ̃́/ɨ	2		k a n !̪ɨ̃́/ɨ	
3887	Wampis	wi	wi	I	w i	1		w i	
4157	Yagua	ra	ra	I	r a	13		r a	
4360	Yanesha	na	na	I	n a	9		n a	
4531	Zaparo	kwihya	kwihya	I	kʷ i hʲ a	2		kʷ i hʲ a	
#
1	Iquito	pɨyɨ́ɨni	pɨyɨ́ɨni	all (of a number)	p ɨ j !ɨ́ɨ/ɨː n i	19		p ɨ j !ɨ́ɨ/ɨː n i	all
323	Ocaina	ʧíí	ʧíí	all (of a number)	tʃ !íí/iː	20		- - tʃ !íí/iː - -	
324	Ocaina	ʧííβa	ʧííβa	all (of a number)	tʃ !íí/iː β a	20		- - tʃ !íí/iː β a	
325	Ocaina	hã́tiʔ	hã́tiʔ	all (of a number)	h !ã́/a t i ʔ	20		h !ã́/a t i ʔ -	
528	Resigaro	pʰéʔtóʔ	pʰéʔtóʔ	all (of a number)	pʰ !é/e ʔ t !ó/o ʔ	21		pʰ !é/e ʔ t !ó/o ʔ	
716	WitotoMinica	nána	nána	all (of a number)	n !á/a n a	26		n !á/a n a	
932	WitotoMurui	nana	nana	all (of a number)	n a n a	26		n a n a	
1138	WitotoNipode	nána	nána	all (of a number)	n !á/a n a	26		n !á/a n a	
1255	Aguaruna	aʃi	aʃi	all (of a number)	a ʃ i	14		- a ʃ i	
1391	Arabela	puetunuj̃uanaa	puetunuj̃uanaa	all (of a number)	p u e t u n u !h̃/h u a n aː	15		p u e t u n u !h̃/h u a n aː	
1522	Candoshi-Shapra	itʃiŋkoɾo	itʃiŋkoɾo	all (of a number)	i tʃ i ŋ k o ɾ o	17		i tʃ i ŋ k o ɾ o	
1632	Chayahuita	yaʔipi	yaʔipi	all (of a number)	j a ʔ i p i	18		j a ʔ i p i	
1878	Taushiro	awun	awun	all (of a number)	a w u n	23		a w u n	
1980	Waorani	tõbãdãdi	tõbãdãdi	all (of a number)	t !õ/o b !ã/a d !ã/a d i	25		t !õ/o b !ã/a d !ã/a d i	
2295	Proto-Bora-Muinane	pa-no	pa-no	all (of a number)	p a n o	16		p a - n - - - o	
2296	Bora	pʰá-neé-re	pʰá-neé-re	all (of a number)	pʰ !á/a n e !é/e r e	16		pʰ !á/a - n e !é/e r e	
2297	Muinane	ɸáá-no	ɸáá-no	all (of a number)	ɸ !á/a !á/a n o	16		ɸ !á/a !á/a n - - - o	
