ID	CONCEPT_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOCODE	CONCEPT_CONCEPTICON_ID	COMMENT	FAMILY	SUBGROUP	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	COGIDS	ALIGNMENT	MORPHEMES	STRUCTURE
78	78_i	I	Iquito	Iquito	kí=	kí=	k i		1209	I	Zaparoan	Zaparoan	1 7	AX	KI	11	11.K.C 11.I.V	2.0 1.5	ki	0	2	2	k i - -	k i	c v
412	78_i	I	Ocaina	Ocaina	xõ	xõ	x o		1209		Huitotoan	Huitotoan	3 7	AX	GU	16	16.G.C 16.U.V	2.0 1.5	xo	0	2	2	x o - -	x o	c v
413	78_i	I	Ocaina	Ocaina	xõɯ̃	xõɯ̃	x o ɯ		1209		Huitotoan	Huitotoan	3 7 7	AXZ	GUI	16	16.G.C 16.U.V 16.I.V	2.0 1.5 0.8	xoɯ	0	2	2	x o - ɯ	x o ɯ	c v v
636	78_i	I	Resigaro	Resígaro	n̥ó	n̥ó	n̥ o		1209		Arawakan	Arawakan	4 7	AX	NU	20	20.N.C 20.U.V	2.0 1.5	n̥o	0	9	10	n̥ o	n̥ o	c v
820	78_i	I	WitotoMinica	Minica Huitoto	kúe	kúe	k u e		1209		Huitotoan	Huitotoan	1 7 7	AXZ	KYE	29	29.K.C 29.Y.V 29.E.V	2.0 1.5 0.8	kue	0	2	2	k u - e	k u e	c v v
1037	78_i	I	WitotoMurui	Murui Huitoto	kue	kue	k u e		1209		Huitotoan	Huitotoan	1 7 7	AXZ	KYE	30	30.K.C 30.Y.V 30.E.V	2.0 1.5 0.8	kue	0	2	2	k u - e	k u e	c v v
1243	78_i	I	WitotoNipode	Nüpode Huitoto	kúe	kúe	k u e		1209		Huitotoan	Huitotoan	1 7 7	AXZ	KYE	31	31.K.C 31.Y.V 31.E.V	2.0 1.5 0.8	kue	0	2	2	k u - e	k u e	c v v
1441	78_i	I	Aguaruna	Aguaruna	wi	wi	w i		1209		Chicham	Chicham	6 7	AX	WI	2	2.W.C 2.I.V	2.0 1.5	wi	0	1	1	w i	w i	c v
1578	78_i	I	Arabela	Arabela	kwa	kwa	k ua		1209		Zaparoan	Zaparoan	1 7	AX	KY	4	4.K.C 4.Y.V	2.0 1.5	kua	0	2	2	k ua - -	k ua	c v
1705	78_i	I	Candoshi-Shapra	Candoshi-Shapra	nowa	nowa	n o w a		1209		Candoshi-Shapra	Isolate	4 7 6 7	AXBZ	NUWA	6	6.N.C 6.U.V 6.W.C 6.A.V	2.0 1.5 1.75 0.8	nowa	0	4	4	n o w a	n o w a	c v c v
