ID	STRUCTURE	FREQUENCY	AchuarShiwiar	Aguaruna	Arabela	Bora	Chayahuita	Iquito	Muinane	Ocaina	Resigaro	Shiwilu	Shuar	Urarina	Wampis	Waorani	WitotoMinica	WitotoMurui	WitotoNipode	Yagua	Yanesha	Zaparo	COGNATESETS	CONCEPTS
252	v	1	ɨː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	eː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2700:1	salt
144	v	4	ɨi	a	Ø	ɛ	Ø	Ø	o	Ø	e	Ø	ei	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2195:1, 3370:1, 4845:2, 553:3	day (opposite of night rather than time measure) / new / that / tooth (front rather than molar)
73	v	2	ɨi	ɛi	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	ei	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	-	1917:1, 2973:4	man (male human) / sky
311	v	1	ɨi	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	3680:3	to breathe
28	v	20	ɨ	ɨ	Ø	Ø	ɨ	i	Ø	Ø	Ø	i	ɨ	Ø	e	Ø	Ø	Ø	Ø	Ø	a	ɨ	1176:3, 1255:1, 1255:4, 1316:3, 1390:2, 1774:1, 3340:4, 5279:3, 2554:0, 4208:1, 4246:1, 4246:3, 4755:1, 953:2, 1091:2, 2048:1, 3621:0, 1888:1, 2504:1, 3917:0	feather (larger feathers rather than down) / five / foot / good / green / hand / left (hand) / louse / mouth / right (correct) / river / tail / to bite / to fall (drop rather than topple) / to know (facts) / to lie / to walk / wind
124	v	12	ɨ	ɨ	i	Ø	a	i	Ø	aː	Ø	a	ɨ	Ø	e	Ø	o	o	o	Ø	e	u	2821:1, 2821:5, 3622:4, 3709:4, 4068:5, 4256:4, 3917:6, 4233:6, 2504:3, 3554:4, 3681:6, 2792:1	right (correct) / sea (ocean) / see / thou / to bite / to breathe / to come / to fall (drop rather than topple) / to hear / to laugh / to live
256	v	1	ɨ	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2787:3	sea (ocean)
3	v	23	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	i	i	i	Ø	Ø	Ø	230:0, 405:1, 687:4, 1040:0, 1130:3, 2150:5, 2483:1, 2656:0, 2687:3, 2924:0, 3322:1, 3604:5, 3723:1, 3850:1, 4138:3, 4556:1, 4830:0, 4862:0, 4862:2, 5322:0, 2567:0, 3627:2, 4363:1	bark / black / dull (knife) / fire / flower / near / red / river / rope / rotten (especially log) / short / sun / three / to bite / to come / to drink / to hold (in hand) / to rub / to suck / tongue / tooth (front rather than molar) / wing
15	v	15	Ø	Ø	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	i	-	i	Ø	Ø	Ø	328:1, 534:1, 687:2, 2353:1, 2621:2, 2897:2, 3085:1, 3139:2, 4191:2, 4503:3, 5120:4, 5245:1, 5322:2, 5370:2, 2792:4	big / cloud / dull (knife) / old / root / sea (ocean) / sharp (as knife) / smoke (of fire) / snake / to kill / to squeeze / when? / wide / wing / woman
43	v	6	Ø	Ø	u	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	2821:6, 3622:5, 3709:5, 4068:6, 4256:5, 3681:7	see / to bite / to breathe / to come / to hear / to live
117	v	6	Ø	Ø	-	-	-	-	-	-	Ø	-	Ø	ɨ	Ø	Ø	e	e	e	Ø	-	a	3477:6, 5503:5, 2:3, 2090:3, 3401:0, 3917:4	I / name / there / thick / to fall (drop rather than topple) / yellow
45	v	5	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɯ	Ø	Ø	Ø	Ø	Ø	Ø	ai	ai	ai	Ø	Ø	Ø	1726:3, 1814:1, 2709:1, 3761:1, 5289:1	lake / leg / salt / to cut / wind
54	v	5	Ø	Ø	-	-	Ø	a	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	3075:0, 3709:0, 4453:0, 5475:0, 1466:0	head / smoke (of fire) / to come / to spit / year
57	v	5	Ø	Ø	i	Ø	Ø	i	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	834:3, 2161:2, 5110:7, 5475:4, 221:0	bark / eye / neck / when? / year
153	v	5	Ø	Ø	a	-	Ø	aː	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	-	a	Ø	a	1828:3, 2408:1, 5082:1, 1603:3, 4147:1	how / liver / other / to hunt (game) / what?
47	v	4	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	-	e	-	Ø	Ø	Ø	562:2, 2373:3, 1787:5, 4273:3	day (opposite of night rather than time measure) / left (hand) / one / to live
56	v	4	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	a	aɯ	a	Ø	Ø	Ø	2420:2, 3823:1, 5267:0, 2229:1	night / other / to dig / wife
68	v	4	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	i	-	-	Ø	Ø	Ø	1997:1, 2684:4, 3890:3, 3923:3	mother / rotten (especially log) / to eat / to fall (drop rather than topple)
60	v	3	Ø	Ø	i	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	834:5, 1542:4, 4453:2	eye / heavy / to spit
61	v	3	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	i	Ø	Ø	Ø	1040:3, 2032:2, 2311:3	fire / mountain / not
70	v	3	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	ɯ	ɯ	-	Ø	Ø	Ø	1486:4, 3408:3, 1439:4	he / head / there
123	v	3	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	-	Ø	Ø	a	2161:0, 5082:3, 5020:4	neck / we / what?
130	v	3	Ø	Ø	a	a	Ø	a	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	e	a	1466:5, 3832:2, 4147:3	head / to drink / to hunt (game)
