Source Doculect	Target Doculect	Doculects Distance
Iquito	Zaparo	0.524670446740759
Arabela	Iquito	0.5308909853924737
Iquito	Taushiro	0.4638392857142857
Iquito	MiranhaCarapana-Tapuya	0.38690476190476186
Iquito	Yanesha	0.2724064625850341
Andoa	Iquito	0.5704152494331065
Iquito	Urarina	0.33552128427128425
Iquito	Yagua	0.4910218253968255
Aguaruna	Iquito	0.3867559523809524
Iquito	Waorani	0.41369047619047616
AchuarShiwiar	Iquito	0.4330357142857143
Iquito	Shuar	0.4564732142857142
Iquito	Wampis	0.4415476190476192
Iquito	Proto-Bora-Muinane	0.36159474206349196
Bora	Iquito	0.284642857142857
Iquito	Muinane	0.38210317460317456
Iquito	Ocaina	0.32499999999999984
Iquito	WitotoMinica	0.506712962962963
Iquito	WitotoMurui	0.5285383597883597
Iquito	WitotoNipode	0.5256944444444445
Chayahuita	Iquito	0.47916666666666674
Iquito	Shiwilu	0.5
Iquito	Ticuna	0.38541666666666663
Canichana	Iquito	0.424107142857143
Candoshi-Shapra	Iquito	0.6072916666666667
Iquito	Tequiraca	0.5291666666666667
Iquito	Juri	0.49407242063492074
Coeruna	Iquito	0.5618055555555556
Iquito	Resigaro	0.37797619047619047
Ocaina	Ticuna	0.27103174603174596
Aguaruna	Ticuna	0.47916666666666663
Proto-Bora-Muinane	Ticuna	0.2909722222222222
Bora	Ticuna	0.2738095238095237
Muinane	Ticuna	0.2738095238095237
Juri	Ticuna	0.46701388888888884
Tequiraca	Ticuna	0.26636904761904767
Muniche	Ticuna	0.3784722222222222
Shuar	Ticuna	0.5784722222222223
Ticuna	Wampis	0.5660879629629629
AchuarShiwiar	Ticuna	0.3767857142857143
Arabela	Ticuna	0.34017857142857144
Ticuna	Yagua	0.47916666666666674
Ticuna	Zaparo	0.43333333333333335
Ticuna	Waorani	0.3194444444444444
Ticuna	Urarina	0.2515625
Ticuna	WitotoMinica	0.2410714285714285
Ticuna	WitotoMurui	0.2410714285714285
Ticuna	WitotoNipode	0.2410714285714285
Ocaina	WitotoMinica	0.37072583623509514
Ocaina	WitotoMurui	0.3901165803075526
Ocaina	WitotoNipode	0.37425190550190524
Coeruna	Ocaina	0.2773065476190477
MiranhaCarapana-Tapuya	Ocaina	0.3089814814814815
Arabela	Ocaina	0.2574404761904763
Ocaina	Pebas	0.39806547619047616
Muniche	Ocaina	0.3784722222222222
Andoa	Ocaina	0.2983585858585859
Ocaina	Omurano	0.5416666666666667
Chibito	Ocaina	0.40208333333333335
Chayahuita	Ocaina	0.3372271825396824
Ocaina	Shiwilu	0.2666666666666666
Ocaina	Urarina	0.25297619047619047
Ocaina	Zaparo	0.2560515873015873
Ocaina	Resigaro	0.34930555555555554
Ocaina	Yagua	0.2675925925925927
Ocaina	Waorani	0.25
Ocaina	Proto-Bora-Muinane	0.4136904761904763
Bora	Ocaina	0.4136904761904763
Muinane	Ocaina	0.4136904761904763
Ocaina	Wampis	0.328764880952381
AchuarShiwiar	Ocaina	0.292249503968254
Ocaina	Shuar	0.298108878968254
Aguaruna	Resigaro	0.26527777777777783
AchuarShiwiar	Resigaro	0.305787037037037
Resigaro	Shuar	0.305787037037037
Chibito	Resigaro	0.2749999999999999
Resigaro	Wampis	0.305787037037037
Resigaro	Waorani	0.3187500000000001
Proto-Bora-Muinane	Resigaro	0.4667824074074074
Bora	Resigaro	0.4217032141139284
Muinane	Resigaro	0.42155612244897955
Arabela	Resigaro	0.3378968253968254
Omurano	Resigaro	0.4520833333333333
Resigaro	Zaparo	0.421875
Resigaro	Yanesha	0.44791666666666674
Resigaro	WitotoNipode	0.28819444444444453
Muniche	Resigaro	0.38541666666666674
Resigaro	WitotoMinica	0.30729166666666674
Resigaro	WitotoMurui	0.30729166666666674
MiranhaCarapana-Tapuya	Resigaro	0.5145833333333334
Resigaro	Yagua	0.45833333333333337
WitotoMinica	WitotoMurui	0.6320241056442355
WitotoMinica	WitotoNipode	0.6683981360444124
Coeruna	WitotoMinica	0.36458333333333337
MiranhaCarapana-Tapuya	WitotoMinica	0.2979166666666666
Proto-Bora-Muinane	WitotoMinica	0.3207440476190476
Muinane	WitotoMinica	0.3340800865800866
Tequiraca	WitotoMinica	0.2455357142857142
Muniche	WitotoMinica	0.35763888888888895
Andoa	WitotoMinica	0.5208333333333334
Omurano	WitotoMinica	0.30963064713064714
Candoshi-Shapra	WitotoMinica	0.25069444444444444
Chibito	WitotoMinica	0.2706101190476191
Bora	WitotoMinica	0.4274814306064306
Arabela	WitotoMinica	0.5104166666666667
Chayahuita	WitotoMinica	0.34943783068783063
Shiwilu	WitotoMinica	0.53125
Urarina	WitotoMinica	0.31845238095238093
WitotoMinica	Zaparo	0.4250992063492064
WitotoMinica	Yagua	0.4163690476190477
WitotoMinica	Yanesha	0.445138888888889
AchuarShiwiar	WitotoMinica	0.3788194444444445
Wampis	WitotoMinica	0.3577380952380952
WitotoMurui	WitotoNipode	0.5935255428910248
Coeruna	WitotoMurui	0.3270833333333334
MiranhaCarapana-Tapuya	WitotoMurui	0.3683928571428572
Proto-Bora-Muinane	WitotoMurui	0.3031108276643991
Muinane	WitotoMurui	0.2656578540507112
Tequiraca	WitotoMurui	0.2455357142857142
Muniche	WitotoMurui	0.4083333333333333
Andoa	WitotoMurui	0.5208333333333334
Omurano	WitotoMurui	0.2898561507936509
Candoshi-Shapra	WitotoMurui	0.30347222222222225
Chibito	WitotoMurui	0.27477678571428565
Bora	WitotoMurui	0.38420329670329656
Arabela	WitotoMurui	0.5104166666666667
Chayahuita	WitotoMurui	0.3786375661375663
Shiwilu	WitotoMurui	0.7604166666666667
Urarina	WitotoMurui	0.31845238095238093
WitotoMurui	Zaparo	0.466765873015873
WitotoMurui	Yagua	0.4046296296296297
WitotoMurui	Yanesha	0.4673611111111111
AchuarShiwiar	WitotoMurui	0.3975694444444444
Wampis	WitotoMurui	0.44995039682539684
Coeruna	WitotoNipode	0.36458333333333337
MiranhaCarapana-Tapuya	WitotoNipode	0.2979166666666666
Proto-Bora-Muinane	WitotoNipode	0.3207440476190476
Muinane	WitotoNipode	0.3340800865800866
Tequiraca	WitotoNipode	0.2455357142857142
Muniche	WitotoNipode	0.35763888888888895
Andoa	WitotoNipode	0.515625
Omurano	WitotoNipode	0.3393518518518518
Candoshi-Shapra	WitotoNipode	0.445138888888889
Chibito	WitotoNipode	0.3123015873015872
Bora	WitotoNipode	0.4274814306064306
Arabela	WitotoNipode	0.5104166666666667
Chayahuita	WitotoNipode	0.36487268518518523
Shiwilu	WitotoNipode	0.53125
Urarina	WitotoNipode	0.31845238095238093
WitotoNipode	Zaparo	0.4136904761904763
WitotoNipode	Yagua	0.45684523809523814
WitotoNipode	Yanesha	0.3868055555555556
AchuarShiwiar	WitotoNipode	0.36069444444444443
Wampis	WitotoNipode	0.38749999999999984
Aguaruna	WitotoNipode	0.3236607142857143
Shuar	WitotoNipode	0.3778935185185186
AchuarShiwiar	Aguaruna	0.5066072796585439
Aguaruna	Canichana	0.3895833333333334
Aguaruna	Shuar	0.5563886317274873
Aguaruna	Wampis	0.6532718812706186
Aguaruna	Waorani	0.37092702821869494
Aguaruna	Zaparo	0.4952876984126985
Aguaruna	Chayahuita	0.5007440476190476
Aguaruna	Yanesha	0.3236152447089946
Aguaruna	Shiwilu	0.4245535714285713
Aguaruna	Yagua	0.4354166666666668
Aguaruna	Urarina	0.30873015873015863
Aguaruna	Arabela	0.29665454144620806
Aguaruna	Andoa	0.31845238095238093
Aguaruna	Coeruna	0.2559027777777778
Aguaruna	Candoshi-Shapra	0.47916666666666674
Aguaruna	Taushiro	0.44791666666666674
Aguaruna	Proto-Bora-Muinane	0.27083333333333337
Aguaruna	Chibito	0.44999999999999996
Arabela	Zaparo	0.5518160400150532
Andoa	Arabela	0.5615123519420393
Arabela	MiranhaCarapana-Tapuya	0.38095238095238093
Arabela	Yanesha	0.25577200577200576
Arabela	Yagua	0.44639550264550265
Arabela	Proto-Bora-Muinane	0.39211309523809523
Arabela	Bora	0.3379103535353535
Arabela	Muinane	0.3979001322751323
Arabela	Chayahuita	0.5625
Arabela	Shiwilu	0.5625
Arabela	Urarina	0.3876082251082251
Arabela	Taushiro	0.539434523809524
AchuarShiwiar	Arabela	0.46089616402116407
Arabela	Shuar	0.3956955467372134
Arabela	Wampis	0.39677579365079374
Arabela	Tequiraca	0.3392857142857144
Arabela	Juri	0.49407242063492074
Arabela	Coeruna	0.6770833333333333
Candoshi-Shapra	Yagua	0.30347222222222225
Candoshi-Shapra	Chayahuita	0.539616402116402
Candoshi-Shapra	Pebas	0.31101190476190466
Candoshi-Shapra	Shiwilu	0.4696593915343916
Candoshi-Shapra	Taushiro	0.5708333333333333
AchuarShiwiar	Candoshi-Shapra	0.44791666666666674
Candoshi-Shapra	Shuar	0.44791666666666674
Candoshi-Shapra	Urarina	0.2791666666666667
Candoshi-Shapra	Wampis	0.28125
Bora	Candoshi-Shapra	0.25416666666666665
Candoshi-Shapra	Muinane	0.38888888888888895
Chayahuita	Shiwilu	0.5064097767801471
AchuarShiwiar	Chayahuita	0.5215810552616107
Chayahuita	Shuar	0.5064429012345679
Chayahuita	Wampis	0.5212301587301587
Chayahuita	Pebas	0.34791666666666665
Andoa	Chayahuita	0.4125000000000001
Chayahuita	MiranhaCarapana-Tapuya	0.30208333333333337
Chayahuita	Urarina	0.38244047619047616
Chayahuita	Zaparo	0.38541666666666674
Chayahuita	Juri	0.33958333333333335
Chayahuita	Taushiro	0.4145833333333334
Chayahuita	Yagua	0.59375
Chayahuita	Tequiraca	0.46875
Chayahuita	Yanesha	0.3236607142857143
Muniche	Omurano	0.45119047619047614
Juri	Muniche	0.3161384140550808
Muniche	Proto-Bora-Muinane	0.3050595238095237
