ID	STRUCTURE	FREQUENCY	AchuarShiwiar	Aguaruna	Andoa	Arabela	Bora	Candoshi-Shapra	Chayahuita	Chibito	Coeruna	Iquito	Juri	MiranhaCarapana-Tapuya	Muinane	Muniche	Ocaina	Omurano	Pebas	Proto-Bora-Muinane	Resigaro	Shiwilu	Shuar	Taushiro	Tequiraca	Ticuna	Urarina	Wampis	Waorani	WitotoMinica	WitotoMurui	WitotoNipode	Yagua	Yameo	Yanesha	Zaparo	COGNATESETS	CONCEPTS
32	V	8	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a.i	Ø	Ø	Ø	Ø	a.i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	23:6, 1229:2, 1325:3, 1368:2, 1645:9, 2930:4, 2955:3, 3242:4	fire / river / sand / sea (ocean) / star / water / we / ye
48	V	8	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɯ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a.i	a.i	a.i	Ø	Ø	Ø	Ø	593:1, 1301:3, 1316:1, 1444:1, 3108:0, 3145:1, 3165:1, 1369:3	rotten (especially log) / salt / sea (ocean) / sharp (as knife) / to cut / wide / wind / wing
90	V	8	Ø	Ø	o	u	Ø	Ø	Ø	Ø	Ø	i	Ø	o.o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	u	839:2, 1523:5, 2092:5, 2345:4, 141:2, 694:1, 2737:3, 3627:6	bone / feather (larger feathers rather than down) / foot / louse / mouth / sleep / to drink / to kill
51	V	7	Ø	Ø	a	-	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	839:6, 1568:0, 1997:0, 2570:0, 3265:0, 363:0, 3184:3	head / mouth / smoke (of fire) / to come / to spit / woman / year
66	V	7	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	o	Ø	Ø	u	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	u	u	Ø	Ø	Ø	Ø	981:3, 1717:2, 2783:3, 3069:0, 3108:2, 796:1, 3081:1	I / big / new / to vomit / white / who? / wide
75	V	7	Ø	Ø	a	a	Ø	Ø	Ø	Ø	Ø	aː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	648:3, 1110:1, 2382:3, 2993:1, 3265:6, 1127:1, 2929:3	blood / liver / other / person / water / what? / year
53	V	6	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a.ɯ	a.ɯ	a.ɯ	Ø	Ø	Ø	Ø	1316:3, 1861:2, 1939:0, 2084:1, 3122:0, 714:1	salt / thin / to bite / to dig / we / wife
56	V	6	Ø	Ø	i	i	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	1269:3, 3012:3, 3265:4, 2834:3, 3184:5, 3517:3	eye / rope / tongue / when? / woman / year
64	V	6	Ø	Ø	i	i	Ø	Ø	Ø	Ø	Ø	iː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	987:1, 1387:3, 1997:2, 2276:3, 2407:2, 1307:0	night / salt / see / to come / to hear / to live
124	V	6	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a.e	Ø	Ø	a.i	Ø	Ø	aː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ai	ai	ai	Ø	Ø	Ø	Ø	640:5, 1618:1, 1717:0, 3403:1, 561:3, 672:0	big / dull (knife) / lake / leg / long / snake
