ID	STRUCTURE	FREQUENCY	AchuarShiwiar	Aguaruna	Andoa	Arabela	Bora	Candoshi-Shapra	Canichana	Chayahuita	Chibito	Coeruna	Iquito	Juri	MiranhaCarapana-Tapuya	Muinane	Muniche	Ocaina	Omurano	Pebas	Proto-Bora-Muinane	Resigaro	Shiwilu	Shuar	Taushiro	Tequiraca	Ticuna	Urarina	Wampis	Waorani	WitotoMinica	WitotoMurui	WitotoNipode	Yagua	Yameo	Yanesha	Zaparo	COGNATESETS	CONCEPTS
8	V	11	Ø	Ø	Ø	Ø	ɯ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	383:2, 469:4, 704:4, 729:2, 773:4, 803:3, 2051:2, 2726:2, 2908:9, 2908:11, 4929:3	black / bone / dust / ear / earth (soil) / egg / mouth / sand / short / two
20	V	11	Ø	Ø	-	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	587:1, 587:2, 955:3, 2886:4, 3045:3, 3045:5, 3623:3, 3815:4, 4168:3, 4168:5, 5162:7	dirty / feather (larger feathers rather than down) / sharp (as knife) / small / to bite / to dig / to kill / white
39	V	9	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	o	Ø	Ø	Ø	Ø	-	e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	586:8, 587:6, 2356:4, 3100:8, 5233:7, 2195:3, 3370:3, 2610:3, 2610:5	dirty / new / old / root / smooth / that / wide
40	V	9	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	a	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	37:2, 586:6, 2886:6, 2908:4, 3117:4, 3750:1, 4005:3, 4623:5, 835:2	all (of a number) / dirty / eye / sharp (as knife) / short / smooth / to cut / to fly / to think
195	V	9	Ø	Ø	a	-	-	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	i	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	-	Ø	Ø	Ø	a	1776:3, 1985:7, 2725:1, 2725:2, 4848:2, 4927:2, 3501:3, 5020:6, 5354:3	left (hand) / mother / sand / thin / tooth (front rather than molar) / two / we / woman
201	V	9	Ø	ɛi	-	-	Ø	Ø	Ø	Ø	u	i	-	i	Ø	Ø	Ø	-	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	a	a	a	-	Ø	Ø	u	3441:4, 4077:3, 4640:4, 4762:3, 5503:3, 3588:1, 4846:1, 4888:3, 1734:1	leaf / they / three / to hear / to think / to walk / tooth (front rather than molar) / tree / yellow
55	V	6	Ø	Ø	-	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	556:4, 1736:7, 2506:0, 4813:2, 4848:6, 1391:5	day (opposite of night rather than time measure) / hand / leaf / right (correct) / tongue / tooth (front rather than molar)
71	V	6	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	2821:6, 3622:5, 3709:5, 4068:6, 4256:5, 3681:7	see / to bite / to breathe / to come / to hear / to live
74	V	6	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	1179:6, 1318:1, 1890:3, 2822:1, 5057:5, 1685:2	foot / green / in / louse / see / wet
180	V	6	Ø	Ø	a	-	-	Ø	Ø	-	Ø	Ø	-	Ø	i	-	Ø	-	Ø	Ø	-	Ø	-	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	e	e	e	Ø	Ø	-	a	3477:6, 5503:5, 2:3, 2090:3, 3401:0, 3917:4	I / name / there / thick / to fall (drop rather than topple) / yellow
183	V	6	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	-	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	e	-	Ø	Ø	Ø	Ø	1787:5, 4273:3, 562:2, 2373:3, 3588:3, 4846:4	day (opposite of night rather than time measure) / left (hand) / one / three / to live / tooth (front rather than molar)
45	V	5	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1159:4, 1776:5, 3303:3, 3750:5, 3750:6	fog / left (hand) / sun / to cut
73	V	5	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɯ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ai	ai	ai	Ø	Ø	Ø	Ø	1726:3, 1814:1, 2709:1, 3761:1, 5289:1	lake / leg / salt / to cut / wind
104	V	5	Ø	Ø	a	-	-	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	-	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	3075:0, 3709:0, 4453:0, 5475:0, 1466:0	head / smoke (of fire) / to come / to spit / year
189	V	5	Ø	Ø	a	ua	i	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	o	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	1889:3, 2255:5, 1284:7, 3501:5, 1776:7	grass / left (hand) / louse / nose / thin
230	V	5	Ø	Ø	o	o	-	Ø	Ø	Ø	Ø	Ø	iː	Ø	Ø	-	Ø	Ø	Ø	Ø	-	Ø	-	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	1284:5, 4453:5, 1684:1, 2672:1, 5162:0	grass / in / rotten (especially log) / to spit / white
64	V	4	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	955:0, 2506:2, 2528:0, 2528:2	feather (larger feathers rather than down) / right (correct) / right (hand)
65	V	4	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2117:0, 2117:1, 3777:1, 4848:7	narrow / to die / tooth (front rather than molar)
66	V	4	Ø	Ø	Ø	Ø	ɛ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2223:1, 2702:4, 4069:1, 4069:2	night / salt / to hear
80	V	4	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	aɯ	a	Ø	Ø	Ø	Ø	2420:2, 3823:1, 5267:0, 2229:1	night / other / to dig / wife
105	V	4	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	i	-	-	Ø	Ø	Ø	Ø	1997:1, 2684:4, 3890:3, 3923:3	mother / rotten (especially log) / to eat / to fall (drop rather than topple)
111	V	4	Ø	Ø	-	i	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	1542:4, 4453:2, 834:6, 4847:2	eye / heavy / to spit / tooth (front rather than molar)
211	V	4	Ø	Ø	a	aː	-	Ø	Ø	Ø	Ø	Ø	ɨː	Ø	Ø	e	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	730:2, 5162:5, 5354:1, 3622:1	ear / to bite / white / woman
87	V	3	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	i	Ø	Ø	Ø	Ø	1040:3, 2032:2, 2311:3	fire / mountain / not
91	V	3	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2702:2, 4325:3, 4704:2	salt / to push / to tie
107	V	3	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɯ	ɯ	-	Ø	Ø	Ø	Ø	1486:4, 3408:3, 1439:4	he / head / there
130	V	3	Ø	Ø	Ø	Ø	ɯ	a	Ø	Ø	Ø	Ø	Ø	u	Ø	ɨ	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1178:2, 2256:1, 2299:2	foot / nose / not
185	V	3	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	-	Ø	Ø	Ø	a	2161:0, 5082:3, 5020:4	neck / we / what?
224	V	3	Ø	Ø	a	a	-	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	-	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ai	u	ai	a	Ø	Ø	aː	954:3, 3663:1, 4147:1	feather (larger feathers rather than down) / to blow (of wind) / to hunt (game)
225	V	3	Ø	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	a	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	-	a	Ø	Ø	Ø	ɨ	221:4, 1439:0, 1734:4	bark / he / leaf
231	V	3	Ø	Ø	Ø	-	a	Ø	Ø	Ø	Ø	Ø	aː	Ø	Ø	a	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	-	a	Ø	Ø	a	1603:3, 4147:4, 4167:0	how / to hunt (game) / to kill
96	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	i	i	i	Ø	Ø	Ø	Ø	2567:0, 3627:2	river / to bite
100	V	2	Ø	Ø	-	-	i	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	1466:2, 4404:4	head / to sing
121	V	2	Ø	Ø	o	u	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	a	954:5, 3302:6	feather (larger feathers rather than down) / sun
122	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	-	-	Ø	Ø	Ø	Ø	1669:2, 2792:6	if / sea (ocean)
131	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɯ	e	ɯ	Ø	Ø	Ø	Ø	603:1, 2420:3	dirty / other
132	V	2	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	619:1, 619:2	dog
136	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ai	ai	a	Ø	Ø	Ø	Ø	1040:2, 3378:1	fire / that
137	V	2	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1159:0, 3866:4	fog / to eat
143	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɯ	a	a	Ø	Ø	Ø	Ø	1669:4, 2150:1	if / near
146	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	o	-	o	Ø	Ø	Ø	Ø	2032:4, 4996:4	mountain / water
147	V	2	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2035:2, 2908:2	mountain / short
148	V	2	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2298:3, 5053:4	not / wet
149	V	2	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2298:5, 3117:6	not / smooth
150	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	ei	e	Ø	Ø	Ø	Ø	2353:0, 4191:1	old / to kill
151	V	2	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2368:2, 4325:5	one / to push
154	V	2	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2908:6, 3914:3	short / to fall (drop rather than topple)
157	V	2	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	uː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	4167:2, 4453:3	to kill / to spit
163	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	-	a	-	Ø	Ø	Ø	Ø	562:0, 4363:2	day (opposite of night rather than time measure) / to rub
165	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	oː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	oː	oː	oː	Ø	Ø	Ø	Ø	930:1, 971:0	father / feather (larger feathers rather than down)
169	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	iː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	i	e	Ø	Ø	Ø	Ø	1439:2, 2541:7	he / right (hand)
170	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	e	a	Ø	Ø	Ø	Ø	1439:5, 3378:3	he / that
174	V	2	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	o	-	3681:0, 3832:0	to breathe / to drink
181	V	2	Ø	Ø	Ø	-	-	i	Ø	Ø	Ø	Ø	iː	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	1542:0, 3524:0	heavy / this
204	V	2	Ø	Ø	o	iː	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	1542:2, 2701:2	heavy / salt
215	V	2	Ø	Ø	a	a	Ø	Ø	Ø	Ø	Ø	Ø	aː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	o	a	Ø	Ø	Ø	1603:5, 4975:3	how / water
245	V	1	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	-	Ø	387:3	black
250	V	1	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	619:4	dog
251	V	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	aɯ	Ø	Ø	Ø	Ø	706:6	dust
252	V	1	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	773:6	earth (soil)
