ID	STRUCTURE	FREQUENCY	AchuarShiwiar	Aguaruna	Andoa	Arabela	Bora	Candoshi-Shapra	Canichana	Chayahuita	Chibito	Coeruna	Iquito	Juri	MiranhaCarapana-Tapuya	Muinane	Muniche	Ocaina	Omurano	Pebas	Proto-Bora-Muinane	Resigaro	Shiwilu	Shuar	Taushiro	Tequiraca	Ticuna	Urarina	Wampis	Waorani	WitotoMinica	WitotoMurui	WitotoNipode	Yagua	Yameo	Yanesha	Zaparo	COGNATESETS	CONCEPTS
356	V	1	ɨː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	eː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2700:1	salt
43	V	40	ɨi	a	a	uɨː	ɛ	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	o	Ø	aː	Ø	Ø	o	e	Ø	ei	Ø	Ø	-	Ø	a	Ø	aɯ	aɯ	aɯ	Ø	Ø	Ø	a	38:1, 186:1, 310:1, 383:4, 679:1, 1443:1, 1829:6, 1854:4, 2196:1, 2356:1, 2356:2, 2356:6, 2369:1, 2464:1, 3117:1, 3117:2, 3128:6, 3275:4, 3276:1, 3398:0, 3398:1, 3399:1, 3430:1, 4889:2, 4890:1, 4928:1, 5058:1, 2195:1, 3370:1, 1685:4, 2672:3, 4845:2, 5020:1, 230:4, 2483:2, 2656:2, 2709:3, 3510:2, 3627:0, 553:3	all (of a number) / bad (deleterious or unsuitable) / bark / big / black / day (opposite of night rather than time measure) / dull (knife) / he / in / liver / long / new / old / one / red / rope / rotten (especially log) / salt / smooth / snake / straight / that / there / they / thin / to bite / tooth (front rather than molar) / tree / two / we / wet
109	V	2	ɨi	ɛi	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ei	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	1917:1, 2973:4	man (male human) / sky
433	V	1	ɨi	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	3680:3	to breathe
57	V	20	ɨ	ɨ	Ø	Ø	Ø	o	Ø	o	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	ɨ	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	a	ɨ	1176:3, 1255:1, 1255:4, 1316:3, 1390:2, 1774:1, 3340:4, 5279:3, 2554:0, 4208:1, 4246:1, 4246:3, 4755:1, 2048:1, 3621:0, 953:3, 1091:2, 1468:3, 2504:1, 3917:0	feather (larger feathers rather than down) / five / foot / good / green / hand / head / left (hand) / mouth / right (correct) / river / tail / to bite / to fall (drop rather than topple) / to know (facts) / to lie / to walk / wind
191	V	11	ɨ	ɨ	Ø	i	Ø	Ø	Ø	a	Ø	Ø	i	Ø	Ø	Ø	Ø	aː	Ø	Ø	Ø	Ø	a	ɨ	Ø	Ø	Ø	Ø	e	Ø	o	o	o	Ø	Ø	e	u	2821:1, 2821:5, 3622:4, 3709:4, 4068:5, 4256:4, 3917:6, 4233:6, 2504:3, 3554:4, 2792:1	right (correct) / sea (ocean) / see / thou / to bite / to come / to fall (drop rather than topple) / to hear / to laugh / to live
301	V	1	ɨ	ɨ	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	ɨ	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1888:1	louse
362	V	1	ɨ	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2787:3	sea (ocean)
9	V	22	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	i	i	i	Ø	Ø	Ø	Ø	230:0, 405:1, 687:4, 1040:0, 2150:5, 2483:1, 2656:0, 2687:3, 2924:0, 3322:1, 3604:5, 3723:1, 3850:1, 4138:3, 4556:1, 4830:0, 4862:0, 4862:2, 5322:0, 1130:3, 1635:3, 4363:1	bark / black / dull (knife) / fire / flower / husband / near / red / rope / rotten (especially log) / short / sun / three / to come / to drink / to hold (in hand) / to rub / to suck / tongue / tooth (front rather than molar) / wing
2	V	16	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	101:2, 260:1, 704:2, 1023:2, 2463:3, 2576:4, 2643:3, 2725:7, 2726:5, 2791:4, 3174:2, 4301:2, 4977:4, 5018:5, 5355:2, 5438:6	ashes / belly / dust / fire / red / river / rope / sand / sea (ocean) / star / to pull / water / we / woman / ye
3	V	15	Ø	Ø	Ø	Ø	ɛ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1565:1, 1565:2, 2557:1, 2557:2, 2769:1, 2769:2, 2977:4, 3209:3, 3778:1, 3815:1, 3914:6, 4005:5, 4756:2, 4768:1, 4768:2	here / river / say / sky / stick (of wood) / to die / to dig / to fall (drop rather than topple) / to fly / to walk
17	V	14	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	-	i	Ø	Ø	Ø	Ø	328:1, 534:1, 687:2, 2353:1, 2621:2, 2897:2, 3085:1, 3139:2, 4191:2, 4503:3, 5120:4, 5245:1, 5322:2, 2792:4	big / cloud / dull (knife) / old / root / sea (ocean) / sharp (as knife) / smoke (of fire) / snake / to kill / to squeeze / when? / wide / wing
