CogID	Node Type	Reconstructed State
1	Leaf	w i
2	Internal Node	k !í/i - -
2	Internal Node	k !í/i - -
2	Internal Node	k a n !̪ɨ̃́/ɨ
2	Internal Node	k !í/i - -
2	Internal Node	k !ú/u - e
2	Leaf	k a n !̪ɨ̃́/ɨ
2	Leaf	kʷ i hʲ a
2	Internal Node	k !í/i - -
2	Internal Node	x !õ/o - !ɯ̃/ɯ
2	Leaf	k !ú/u - e
2	Leaf	k u - i
2	Internal Node	k !í/i - -
2	Leaf	k a - -
2	Internal Node	x !õ/o - !ɯ̃/ɯ
2	Leaf	k ua - -
2	Internal Node	k !í/i - -
2	Leaf	k i h !á/a
2	Leaf	x !õ/o - !ɯ̃/ɯ
2	Leaf	k u - e
2	Internal Node	k !í/i - -
2	Leaf	kʷ a - -
2	Leaf	k !í/i - -
2	Leaf	x !õ/o - -
3	Internal Node	u - - - - u
3	Leaf	u - - - - u
3	Internal Node	o - - - - !ó/o
3	Leaf	o - - - - !ó/o
3	Leaf	!ú/u !ú/u h !ó/o ʔ o
9	Internal Node	n̥ !ó/o
9	Leaf	n̥ !ó/o
9	Leaf	n a
14	Internal Node	- a ʃ i
14	Internal Node	- a ʃ i
14	Internal Node	m a ʃ i
14	Internal Node	- a ʃ i
14	Leaf	m a t a
14	Leaf	m a ʃ i
14	Leaf	- a ʃ i
14	Internal Node	- a ʃ i
14	Leaf	- a ʃ !í/i
14	Leaf	- a ʃ i
14	Leaf	m !á/a ʃ i
16	Internal Node	p a - n - - - o
16	Internal Node	p a - n - - - o
16	Leaf	pʰ !á/a - n e !é/e r e
16	Leaf	p a - n - - - o
16	Leaf	ɸ !á/a !á/a n - - - o
26	Internal Node	n !á/a n a
26	Leaf	n !á/a n a
26	Leaf	n a n a
29	Internal Node	t !ú/u r ua
29	Leaf	t !ú/u r ua
29	Leaf	t u r a
40	Internal Node	k ʊ n t i n -
40	Leaf	k ʊ n t i n -
40	Leaf	k !æ̃/æ - d !ĩ/i g !ã/a
45	Internal Node	t !á/a ŋ k u
45	Internal Node	t !á/a ŋ k u
45	Leaf	t ɨ - k e
45	Leaf	t !á/a ŋ k u
45	Leaf	t a ŋ k u
52	Internal Node	j ʊ - k ʊ - - -
52	Internal Node	j ʊ - k ʊ - - -
52	Internal Node	j u ŋ k !ú/u n i m
52	Leaf	j ʊ - k ʊ - - -
52	Leaf	j u - k !ú̃ũ/uː - - -
52	Leaf	j u ŋ k !ú/u n i m
52	Leaf	j u n k u n i m
54	Internal Node	b a i g i i h ɨ
54	Internal Node	b a i g i i h ɨ
54	Leaf	p !á/a - tʃ i !í/i hʲ ɯ
54	Leaf	b a i g i i h ɨ
54	Leaf	b a i g !í/i !í/i h ɨ
66	Internal Node	h !í/i θ e ɸ o
66	Leaf	h !í/i θ e ɸ o
66	Leaf	h u θ e ɸ o
71	Internal Node	n u m
71	Internal Node	n u m
71	Leaf	n a m
71	Leaf	n u m
71	Leaf	n a m
72	Internal Node	β ɨ
72	Leaf	β ɨ
72	Leaf	β ɯ
73	Internal Node	h i n a
73	Leaf	h i n a
73	Leaf	h i ɲ a
75	Internal Node	k -
75	Leaf	k -
75	Leaf	k !ɨ́/i
76	Leaf	m o
79	Internal Node	t ʊ n - t ʊ p -
79	Internal Node	t ʊ n - t ʊ p -
79	Leaf	t u n - t u p ɨ
79	Internal Node	t ʊ n - t ʊ p -
79	Leaf	t æ k æ j a b æ
79	Leaf	t ʊ n - t ʊ p -
79	Leaf	t u n - t !ú/u p -
92	Internal Node	e m !ó/o d o
92	Leaf	e m !ó/o d o
92	Leaf	e m o d o
93	Leaf	h e !r/ɾ !á/a ɯ k ɯ
100	Internal Node	s !ɨɨ́/ɨː s a n a
100	Leaf	s !ɨɨ́/ɨː s a n a
100	Leaf	s e s aː k a
101	Internal Node	i m i t ɨ n o
101	Internal Node	i m i t ɨ n o
