ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	ALIGNMENT	COGID	COGIDS	SOURCE	STRUCTURE
2735	AchuarShiwiar	ashes	yukú̃ũ	yukú̃ũ	j u k uː	None	Chicham	j u k uː	3649	99	Fast2008	C V C V
1386	Aguaruna	ashes	juku	juku	j ʊ k ʊ	None	Chicham	j ʊ k ʊ	3649	99	Johansson2021	C V C V
4836	Wampis	ashes	yuku	yuku	j u k u	None	Chicham	j u k u	3649	99	Peña2023	C V C V
2338	Bora	ashes	pá-ʧiíhʲɯ	pá-ʧiíhʲɯ	p a + tʃ i.i hʲ ɯ	None	Boran	p a + tʃ i.i hʲ ɯ	12	101 102	Seifart2024	C V + C V C V
2339	Muinane	ashes	bai-gííhɨ	bai-gííhɨ	b ai + g i.i h ɨ	None	Boran	b ai + g i.i h ɨ	12	101 102	Seifart2024	C V + C V C V
2337	Proto-Bora-Muinane	ashes	bai-giihɨ	bai-giihɨ	b ai + g i.i h ɨ	None	Boran	b ai + g i.i h ɨ	12	101 102	Seifart2024	C V + C V C V
911	WitotoMinica	at	mo	mo	m o	None	Huitotoan	m o	268	135	Huber2021	C V
1119	WitotoMurui	at	mo	mo	m o	None	Huitotoan	m o	268	135	Huber2021	C V
1323	WitotoNipode	at	mo	mo	m o	None	Huitotoan	m o	268	135	Huber2021	C V
2604	Bora	at	-βɯ	-βɯ	β ɯ	None	Boran	β ɯ	239	131	Seifart2024	C V
2605	Muinane	at	-βɨ	-βɨ	β ɨ	None	Boran	β ɨ	239	131	Seifart2024	C V
2603	Proto-Bora-Muinane	at	-βɨ	-βɨ	β ɨ	None	Boran	β ɨ	239	131	Seifart2024	C V
2736	AchuarShiwiar	at	-num	-num	n u m	From examples and order this is the second most used form: -nam	Chicham	n u m	235	130	Fast2008	C V C
3544	Shuar	at	-nam	-nam	n a m	With consonant-ending nouns	Chicham	n a m	235	130	Pellizzaro2005	C V C
4241	Wampis	at	-num / nam / -i	-num	n u m	locative postposition -num / nam /- i	Chicham	n u m	235	130	Peña2023	C V C
333	Ocaina	back (person's)	hɯɯʔxo	hɯɯʔxo	h ɯː ʔ + x o	back-CLF:INHER	Huitotoan	h ɯː ʔ - + x o	522	167 108	Huber2021	C V C + C V
761	WitotoMinica	back (person's)	heráɯkɯ	heráɯkɯ	h e ɾ aɯ + k ɯ	back-CLF:INHER	Huitotoan	h e ɾ aɯ + k ɯ	522	167 108	Huber2021	C V C V + C V
1188	WitotoNipode	back (person's)	heráɯkɯ	heráɯkɯ	h e ɾ aɯ + k ɯ	back-CLF:INHER	Huitotoan	h e ɾ aɯ + k ɯ	522	167 108	Huber2021	C V C V + C V
3216	Coeruna	back (person's)	coamoho	coamoho	oa m o ʔ o	Martius: dorsum	Huitotoan	oa m o ʔ o	511	166	Martius1867	V C V C V
760	WitotoMinica	back (person's)	emódo	emódo	e m o d o	None	Huitotoan	e m o d o	511	166	Huber2021	V C V C V
978	WitotoMurui	back (person's)	emodo	emodo	e m o d o	None	Huitotoan	e m o d o	511	166	Huber2021	V C V C V
2737	AchuarShiwiar	back (person's)	tuntúp	tuntúp	t u n t u p	None	Chicham	t u n t u p	385	149	Fast2008	C V C C V C
1387	Aguaruna	back (person's)	tuntup	tuntup	t ʊ n t ʊ p	None	Chicham	t ʊ n t ʊ p	385	149	Johansson2021	C V C C V C
3546	Shuar	back (person's)	tuntupe	tuntupe	t u n t u p.ɨ	None	Chicham	t u n t u p.ɨ	385	149	Pellizzaro2005	C V C C V C
4140	Wampis	back (person's)	tuntup	tuntup	t u n t u p	None	Chicham	t u n t u p	385	149	Peña2023	C V C C V C
2438	Bora	bad (deleterious or unsuitable)	ími-tʰʲɯ́-ne	ími-tʰʲɯ́-ne	i m i + tʰʲ ɯ + n ɛ	None	Boran	i m i + tʰʲ ɯ + n ɛ	662	184 185 186	Seifart2024	V C V + C V + C V
2439	Muinane	bad (deleterious or unsuitable)	ími-tɨ-no	ími-tɨ-no	i m i + t ɨ + n o	None	Boran	i m i + t ɨ + n o	662	184 185 186	Seifart2024	V C V + C V + C V
2437	Proto-Bora-Muinane	bad (deleterious or unsuitable)	imi-tɨ-no	imi-tɨ-no	i m i + t ɨ + n o	good-NEG-INAN	Boran	i m i + t ɨ + n o	662	184 185 186	Seifart2024	V C V + C V + C V
849	WitotoMinica	bark	igóraɯ	igóraɯ	i + g o ɾ aɯ	None	Huitotoan	i + g o ɾ aɯ	3463	765 230	Huber2021	V + C V C V
1064	WitotoMurui	bark	igoraɯ	igoraɯ	i + g o r aɯ	None	Huitotoan	i + g o r aɯ	3463	765 230	Huber2021	V + C V C V
1270	WitotoNipode	bark	igóraɯ	igóraɯ	i + g o ɾ aɯ	None	Huitotoan	i + g o ɾ aɯ	3463	765 230	Huber2021	V + C V C V
2739	AchuarShiwiar	bark	sáap	sáap	s aː p	None	Chicham	s aː p -	936	216	Fast2008	C V C
1389	Aguaruna	bark	saɨpɨ	saɨpɨ	s ə.ɨ p ɨ	None	Chicham	s ə.ɨ p ɨ	936	216	Johansson2021	C V C V
3548	Shuar	bark	saep	saep	s a.ɨ p	None	Chicham	s a.ɨ p -	936	216	Pellizzaro2005	C V C
4113	Wampis	bark	saepe	saepe	s a.ɨ p ɨ	possessed	Chicham	s a.ɨ p ɨ	936	216	Peña2023	C V C V
4841	AchuarShiwiar	because	a-sa-	a-sa-	a + s a	None	Chicham	a + s a	3512	829 250	Kohlberger2020	V + C V
4839	Aguaruna	because	asa-	asa-	a + s a	None	Chicham	a + s a	3512	829 250	Overall2007	V + C V
4840	Shuar	because	a-sa-	a-sa-	a + s a	None	Chicham	a + s a	3512	829 250	Saad2014	V + C V
4250	Wampis	because	-sa	asa	a + s a	a copula with the subordinator -sa (or other subordinators) is used	Chicham	a + s a	3512	829 250	Peña2023	V + C V
1528	Arabela	belly	saɾaka	saɾaka	s a ɾ a k a	None	Zaparoan	s a ɾ a k a	1266	264	Johansson2021	C V C V C V
11	Iquito	belly	tanaka	tanaka	t a n a k a	belly	Zaparoan	t a n a k a	1266	264	Michael2022	C V C V C V
4664	Zaparo	belly	tawaka	tawaka	t a w a k a	None	Zaparoan	t a w a k a	1266	264	Beier2014	C V C V C V
757	WitotoMinica	belly	hébe	hébe	h e b e	None	Huitotoan	h e b e	1342	274	Huber2021	C V C V
976	WitotoMurui	belly	hébe	hébe	h e b e	None	Huitotoan	h e b e	1342	274	Huber2021	C V C V
1186	WitotoNipode	belly	hébe	hébe	h e b e	None	Huitotoan	h e b e	1342	274	Huber2021	C V C V
4842	AchuarShiwiar	belly	tantán	tantán	t a n t a n	None	Chicham	t a n t a n	1234	258	Fast2008	C V C C V C
1391	Aguaruna	belly	tantan	tantan	t a n t a n	None	Chicham	t a n t a n	1234	258	Johansson2021	C V C C V C
