ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	ALIGNMENT	COGID	COGIDS	SOURCE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
78	Iquito	I	kí=	kí=	k i	I	Zaparoan	k i - -	77	11	Michael2022	1 7	AX	KI	11	11.K.C 11.I.V	2.0 1.5	ki	0
412	Ocaina	I	xõ	xõ	x o	None	Huitotoan	x o -	796	2	Huber2021	3 7	AX	GU	16	16.G.C 16.U.V	2.0 1.5	xo	0
413	Ocaina	I	xõɯ̃	xõɯ̃	x o ɯ	None	Huitotoan	x o ɯ	796	2	Huber2021	3 7 7	AXZ	GUI	16	16.G.C 16.U.V 16.I.V	2.0 1.5 0.8	xoɯ	0
636	Resigaro	I	n̥ó	n̥ó	n̥ o	None	Arawakan	n̥ o	2	10	Huber2021	4 7	AX	NU	20	20.N.C 20.U.V	2.0 1.5	n̥o	0
820	WitotoMinica	I	kúe	kúe	k u e	None	Huitotoan	k u e	796	2	Huber2021	1 7 7	AXZ	KYE	29	29.K.C 29.Y.V 29.E.V	2.0 1.5 0.8	kue	0
1037	WitotoMurui	I	kue	kue	k u e	None	Huitotoan	k u e	796	2	Huber2021	1 7 7	AXZ	KYE	30	30.K.C 30.Y.V 30.E.V	2.0 1.5 0.8	kue	0
1243	WitotoNipode	I	kúe	kúe	k u e	None	Huitotoan	k u e	796	2	Huber2021	1 7 7	AXZ	KYE	31	31.K.C 31.Y.V 31.E.V	2.0 1.5 0.8	kue	0
1441	Aguaruna	I	wi	wi	w i	None	Chicham	w i	1	1	Johansson2021	6 7	AX	WI	2	2.W.C 2.I.V	2.0 1.5	wi	0
1577	Arabela	I	kwa	kwa	kʷ a	None	Zaparoan	kʷ - - a	77	11	Johansson2021	1 7	AX	KA	4	4.K.C 4.A.V	2.0 1.5	kʷa	0
1704	Candoshi-Shapra	I	nowa	nowa	n o w a	None	Isolate	n o w a	2215	4	Johansson2021	4 7 6 7	AXBZ	NUWA	6	6.N.C 6.U.V 6.W.C 6.A.V	2.0 1.5 1.75 0.8	nowa	0
1821	Chayahuita	I	ka	ka	k a	None	Cahuapanan	k a - - ( - - - )	3372	65	Johansson2021	1 7	AX	KA	8	8.K.C 8.A.V	2.0 1.5	ka	0
1947	Muniche	I	aʔpaʔnɨ	aʔpaʔnɨ	a ʔ p a ʔ n ɨ	None	Isolate	a ʔ p a ʔ n ɨ	3574	9	Johansson2021	7 1 1 7 1 4 7	XMBYBCZ	AHPAHNI	15	15.A.V 15.H.c 15.P.C 15.A.V 15.H.C 15.N.C 15.I.V	1.5 1.1 1.75 1.3 1.75 1.5 0.8	aʔpaʔnɨ	0
2065	Taushiro	I	ujo	ujo	u j o	None	Isolate	u j o	154	12	Johansson2021	7 6 7	XBZ	YJU	23	23.Y.V 23.J.C 23.U.V	1.5 1.75 0.8	ujo	0
2184	Waorani	I	botõ	botõ	b o t o	None	Isolate	b o t o	234	13	Johansson2021	1 7 1 7	AXBZ	PUTU	28	28.P.C 28.U.V 28.T.C 28.U.V	2.0 1.5 1.75 0.8	boto	0
2406	Proto-Bora-Muinane	I	uu	uu	u u	None	Boran	u u	1515	3	Seifart2024	7 7	XZ	YY	19	19.Y.V 19.Y.V	1.5 0.8	uu	0
2407	Bora	I	oó	oó	o o	None	Boran	o o	1515	3	Seifart2024	7 7	XZ	UU	5	5.U.V 5.U.V	1.5 0.8	oo	0
2408	Muinane	I	úú-hóʔo	úú-hóʔo	u u + h o ʔ o	None	Boran	u u + h o ʔ o	1516	3 8	Seifart2024	7 7 9 3 7 1 7	XZ_AXBZ	YY_HUHU	14	14.Y.V 14.Y.V 14._._ 14.H.C 14.U.V 14.H.C 14.U.V	1.5 0.8 0.0 2.0 1.5 1.75 0.8	uu+hoʔo	0
2806	AchuarShiwiar	I	wi	wi	v i	None	Chicham	v i	1	1	Fast2008	3 7	AX	BI	1	1.B.C 1.I.V	2.0 1.5	vi	0
2940	Andoa	I	kijá	kijá	k i h a	None	Zaparoan	k i h a	77	11	Michael2009	1 7 3 7	AXBZ	KIHA	3	3.K.C 3.I.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	kiha	0
2996	Canichana	I	oxale	oxale	o h a l e	None	Isolate	o h a l e	2951	5	Crevels2012	7 3 7 5 7	XBYBZ	UHALE	7	7.U.V 7.H.C 7.A.V 7.L.C 7.E.V	1.5 1.75 1.3 1.75 0.8	ohale	0
3090	Juri	I	tshuu	tshuu	ts u u	Martius: ego	Ticuna-Yuri	ts u u	3407	7	Martius1867	2 7 7	AXZ	CYY	12	12.C.C 12.Y.V 12.Y.V	2.0 1.5 0.8	tsuu	0
3091	Juri	I	súu	súu	s u u	Martius: ego	Ticuna-Yuri	s u u	3407	7	Martius1867	3 7 7	AXZ	SYY	12	12.S.C 12.Y.V 12.Y.V	2.0 1.5 0.8	suu	0
3218	Coeruna	I	coáe	coáe	k o a e	Martius: ego	Huitotoan	k o a.e	796	2	Martius1867	1 7 7 7	AXYZ	KUAE	10	10.K.C 10.U.V 10.A.V 10.E.V	2.0 1.5 1.3 0.8	koae	0
3314	MiranhaCarapana-Tapuya	I	cui	cui	k u i	Martius: ego	Huitotoan	k u i	796	2	Martius1867	1 7 7	AXZ	KYI	13	13.K.C 13.Y.V 13.I.V	2.0 1.5 0.8	kui	0
3427	Shiwilu	I	kenmu’	kenmu’	kˀ ə n m u ʔ	inclusive form	Cahuapanan	kˀ ə n - ( m u ʔ )	3372	65	Valenzuela2012	1 7 4 4 7 1	AXMBYN	KENMYH	21	21.K.C 21.E.V 21.N.c 21.M.C 21.Y.V 21.H.c	2.0 1.5 1.1 1.75 1.3 0.8	kˀənmuʔ	0
3428	Shiwilu	I	kua	kua	kʷ a	exclusive form	Cahuapanan	kʷ a - - ( - - - )	3372	65	Valenzuela2012	1 7	AX	KA	21	21.K.C 21.A.V	2.0 1.5	kʷa	0
3608	Shuar	I	wi	wi	w i	None	Chicham	w i	1	1	Pellizzaro2005	6 7	AX	WI	22	22.W.C 22.I.V	2.0 1.5	wi	0
3920	Urarina	I	kan̪ɨ̃́	kan̪ɨ̃́	k a n ɨ	None	Isolate	k a n ɨ ( - - - )	3372	65	Peña2023	1 7 4 7	AXBZ	KANI	26	26.K.C 26.A.V 26.N.C 26.I.V	2.0 1.5 1.75 0.8	kanɨ	0
4056	Wampis	I	wi	wi	w i	None	Chicham	w i	1	1	Peña2023	6 7	AX	WI	27	27.W.C 27.I.V	2.0 1.5	wi	0
4328	Yagua	I	ra	ra	r a	None	Peba-Yagua	r a	313	14	Gonzales2023	5 7	AX	RA	32	32.R.C 32.A.V	2.0 1.5	ra	0
4538	Yanesha	I	na	na	n a	None	Arawakan	n a	2	10	Peña2024	4 7	AX	NA	34	34.N.C 34.A.V	2.0 1.5	na	0
4709	Zaparo	I	kwihya	kwihya	kʷ i hʲ a	None	Zaparoan	kʷ i hʲ a	77	11	Beier2014	1 7 3 7	AXBZ	KIHA	35	35.K.C 35.I.V 35.H.C 35.A.V	2.0 1.5 1.75 0.8	kʷihʲa	0
1	Iquito	all (of a number)	pɨyɨ́ɨni	pɨyɨ́ɨni	p ɨ j ɨː n i	all	Zaparoan	p ɨ j ɨː n i	2446	43	Michael2022	1 7 6 7 4 7	AXBYBZ	PIJINI	11	11.P.C 11.I.V 11.J.C 11.I.V 11.N.C 11.I.V	2.0 1.5 1.75 1.3 1.75 0.8	pɨjɨːni	0
452	Ocaina	all (of a number)	ʧíí	ʧíí	tʃ iː	None	Huitotoan	tʃ iː	2525	44	Huber2021	1 7	AX	TI	16	16.T.C 16.I.V	2.0 1.5	tʃiː	0
453	Ocaina	all (of a number)	ʧííβa	ʧííβa	tʃ iː + β a	None	Huitotoan	tʃ iː + β a	2526	44 763	Huber2021	1 7 9 3 7	AX_AX	TI_BA	16	16.T.C 16.I.V 16._._ 16.B.C 16.A.V	2.0 1.5 0.0 2.0 1.5	tʃiː+βa	0
