ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	FAMILY	COGID	COGIDS	MORPHEMES	BORROWING
4	Iquito	ashes	pukiti	pukiti	p u k i t i	ash	Zaparoan	0			
234	Ocaina	ashes	oʔtiiʔi	oʔtiiʔi	o ʔ t iː ʔ i		Huitotoan	0			
473	Resigaro	ashes	ókóniigiʤíhú	ókóniigiʤíhú	!ó/o k !ó/o n iː g i dʒ !í/i h !ú/u		Arawakan	0			
653	WitotoMinica	ashes	híθeɸo	híθeɸo	h !í/i θ e ɸ o		Huitotoan	0			
870	WitotoMurui	ashes	huθeɸo	huθeɸo	h u θ e ɸ o		Huitotoan	0			
1076	WitotoNipode	ashes	hítuegɯ	hítuegɯ	h !í/i t u e g ɯ		Huitotoan	0			
1257	Aguaruna	ashes	juku	juku	j ʊ k ʊ		Chicham	0			
1393	Arabela	ashes	j̃uaka	j̃uaka	!h̃/h u a k a		Zaparoan	0			
1523	Candoshi-Shapra	ashes	poʂatʃi	poʂatʃi	p o ʂ a tʃ i		Candoshi-Shapra	0			
1634	Chayahuita	ashes	waɾianoʔ	waɾianoʔ	w a ɾ i a n o ʔ		Cahuapanan	0			
1880	Taushiro	ashes	tuʔka	tuʔka	t u ʔ k a		Taushiro	0			
1982	Waorani	ashes	gõdãi	gõdãi	g !õ/o d !ã/a i		Waorani	0			
2167	Proto-Bora-Muinane	ashes	bai-giihɨ	bai-giihɨ	b a i + g i i h ɨ			0			
2168	Bora	ashes	pá-ʧiíhʲɯ	pá-ʧiíhʲɯ	p !á/a + tʃ i !í/i hʲ ɯ		Boran	0			
2169	Muinane	ashes	bai-gííhɨ	bai-gííhɨ	b a i + g !í/i !í/i h ɨ		Boran	0			
2565	AchuarShiwiar	ashes	yukú̃ũ	yukú̃ũ	j u k !ú̃ũ/uː		Chicham	0			
2793	Canichana	ashes	ni-chu’ku ku’napʰ	ni-chu’ku ku’napʰ	n i + tʃ u k u + k u n a pʰ	ni = ABS	Canichana	0			
3194	Shiwilu	ashes	pendalu'	pendalu'	pˀ ə n ð a l u ʔ		Cahuapanan	0			
3373	Shuar	ashes	yunkúnim	yunkúnim	j u ŋ k !ú/u n i m		Chicham	0			
3612	Omurano	ashes	n̄jótši	n̄jótši	ɲ !ó/o tʃ i	Tessmann: Asche	Omurano	0			
3689	Yameo	ashes	ō̠ṛšĕ́'	ō̠ṛšĕ́'	!ō̠/o !ṛ/r ʃ !ĕ́/e	Tessmann: Asche	Peba-Yagua	0			
3757	Urarina	ashes	ahan̪ẽ́	ahan̪ẽ́	a h a n !̪ẽ́/e		Urarina	0			
4042	Wampis	ashes	yunkunim	yunkunim	j u n k u n i m		Chicham	0			
4130	Yagua	ashes	pupo	pupo	p u p o		Peba-Yagua	0			
4328	Yanesha	ashes	sapoeɲ	sapoeɲ	s a p o e ɲ		Arawakan	0			
5	Iquito	at	=jina	=jina	h i n a	at	Zaparoan	0			
573	Resigaro	at	ná	ná	n !á/a		Arawakan	0			
782	WitotoMinica	at	mo	mo	m o		Huitotoan	0			
990	WitotoMurui	at	mo	mo	m o		Huitotoan	0			
1194	WitotoNipode	at	mo	mo	m o		Huitotoan	0			
2433	Proto-Bora-Muinane	at	-βɨ	-βɨ	β ɨ			0			
2434	Bora	at	-βɯ	-βɯ	β ɯ		Boran	0			
2435	Muinane	at	-βɨ	-βɨ	β ɨ		Boran	0			
2566	AchuarShiwiar	at	-num	-num	n u m	From examples and order this is the second most used form: -nam	Chicham	0			
3195	Shiwilu	at	=k	=k	k		Cahuapanan	0			
3374	Shuar	at	-nam	-nam	n a m	With consonant-ending nouns	Chicham	0			
3375	Shuar	at	-num	-num	n u m	With vowel-ending nouns	Chicham	0			
3867	Urarina	at	kɨ́	kɨ́	k !ɨ́/i		Urarina	0			
4073	Wampis	at	-num / nam / -i	-num	n u m	locative postposition -num / nam /- i	Chicham	0			
4074	Wampis	at	-num / nam / -i	nam	n a m	locative postposition -num / nam /- i	Chicham	0			
4075	Wampis	at	-num / nam / -i	-i	i	locative postposition -num / nam /- i	Chicham	0			
4479	Yanesha	at	-o	-o	o		Arawakan	0			
4482	Zaparo	at	=hinya	=hinya	h i ɲ a		Zaparoan	0			
6	Iquito	back (person's)	jiwíriku	jiwíriku	h i w !í/i r i k u	back	Zaparoan	0			
204	Ocaina	back (person's)	hɯɯʔxo	hɯɯʔxo	h ɯː ʔ x o		Huitotoan	0			
205	Ocaina	back (person's)	hɯɯʔxomó	hɯɯʔxomó	h ɯː ʔ x o m !ó/o		Huitotoan	0			
456	Resigaro	back (person's)	βán̥í	βán̥í	β !á/a n̥ !í/i		Arawakan	0			
631	WitotoMinica	back (person's)	emódo	emódo	e m !ó/o d o		Huitotoan	0			
632	WitotoMinica	back (person's)	heráɯkɯ	heráɯkɯ	h e !r/ɾ !á/a ɯ k ɯ		Huitotoan	0			
633	WitotoMinica	back (person's)	ɸekániko	ɸekániko	ɸ e k !á/a n i k o		Huitotoan	0			
849	WitotoMurui	back (person's)	emodo	emodo	e m o d o		Huitotoan	0			
1059	WitotoNipode	back (person's)	heráɯkɯ	heráɯkɯ	h e !r/ɾ !á/a ɯ k ɯ		Huitotoan	0			
1258	Aguaruna	back (person's)	tuntup	tuntup	t ʊ n t ʊ p		Chicham	0			
1524	Candoshi-Shapra	back (person's)	kooʃitʃ	kooʃitʃ	k oː ʃ i tʃ		Candoshi-Shapra	0			
1635	Chayahuita	back (person's)	pinɨn	pinɨn	p i n ɨ n		Cahuapanan	0			
1760	Muniche	back (person's)	tumɾɨʔɨ	tumɾɨʔɨ	t u m ɾ ɨ ʔ ɨ		Muniche	0			
1983	Waorani	back (person's)	tækæjabæ	tækæjabæ	t æ k æ j a b æ		Waorani	0			
2567	AchuarShiwiar	back (person's)	tuntúp	tuntúp	t u n t !ú/u p		Chicham	0			
2918	Juri	back (person's)	tschu-ibaüh	tschu-ibaüh	dʒ u + i b a ɨ ʔ	Martius: dorsum	Ticuna-Yuri	0			
3046	Coeruna	back (person's)	coamoho	coamoho	k o a m o ʔ o	Martius: dorsum	Huitotoan	0			
3142	MiranhaCarapana-Tapuya	back (person's)	göthzatüná	göthzatüná	g !ö/o dz a t ɨ n !á/a	Martius: dorsum	Huitotoan	0			
3196	Shiwilu	back (person's)	pitek	pitek	p i tˀ ə k		Cahuapanan	0			
3376	Shuar	back (person's)	tuntupe	tuntupe	t u n t u p ɨ		Chicham	0			
3592	Omurano	back (person's)	anaθáb̯a	anaθáb̯a	a n a θ !á/a b a	Tessmann: Rücken	Omurano	0			
3664	Yameo	back (person's)	išĕ̯n’á	išĕ̯n’á	i ʃ !ĕ̯/e n !á/a	Tessmann: Rücken	Peba-Yagua	0			
3786	Urarina	back (person's)	han̪ũd̺í	han̪ũd̺í	h a n !̪ũ/u d !̺í/i		Urarina	0			
3971	Wampis	back (person's)	tuntup	tuntup	t u n t u p		Chicham	0			
4293	Yanesha	back (person's)	tʃeˀɲets	tʃeˀɲets	t ʃ e ʔ ɲ e ts		Arawakan	0			
4483	Zaparo	back (person's)	ushiawku	ushiawku	u ʃ i au k u		Zaparoan	0			
7	Iquito	bad (deleterious or unsuitable)	sɨɨ́sana	sɨɨ́sana	s !ɨɨ́/ɨː s a n a	bad	Zaparoan	0			
309	Ocaina	bad (deleterious or unsuitable)	ɯìɯìra	ɯìɯìra	ɯ !ì/i ɯ !ì/i r a		Huitotoan	0			
474	Resigaro	bad (deleterious or unsuitable)	matsʰíβaʔnúʔ	matsʰíβaʔnúʔ	m a tsʰ !í/i β a ʔ n !ú/u ʔ		Arawakan	0			
706	WitotoMinica	bad (deleterious or unsuitable)	ɸɯénìde	ɸɯénìde	ɸ ɯ !é/e n !ì/i d e		Huitotoan	0			
922	WitotoMurui	bad (deleterious or unsuitable)	maraiɲede	maraiɲede	m a r ai ɲ e d e		Huitotoan	0			
1128	WitotoNipode	bad (deleterious or unsuitable)	puénìde	puénìde	p u !é/e n !ì/i d e		Huitotoan	0			
1259	Aguaruna	bad (deleterious or unsuitable)	katsɨk	katsɨk	k a ts ɨ k		Chicham	0			
1394	Arabela	bad (deleterious or unsuitable)	sesaaka	sesaaka	s e s aː k a		Zaparoan	0			
1525	Candoshi-Shapra	bad (deleterious or unsuitable)	jootaɾiita	jootaɾiita	j oː t a ɾ iː t a		Candoshi-Shapra	0			
1761	Muniche	bad (deleterious or unsuitable)	smecu	smecu	s m e c u		Muniche	0			
1881	Taushiro	bad (deleterious or unsuitable)	jaʔkantu	jaʔkantu	j a ʔ k a n t u		Taushiro	0			
2267	Proto-Bora-Muinane	bad (deleterious or unsuitable)	imi-tɨ-no	imi-tɨ-no	i m i + t ɨ + n o			0			
2268	Bora	bad (deleterious or unsuitable)	ími-tʰʲɯ́-ne	ími-tʰʲɯ́-ne	!í/i m i + tʰʲ !ɯ́/ɯ + n e		Boran	0			
2269	Muinane	bad (deleterious or unsuitable)	ími-tɨ-no	ími-tɨ-no	!í/i m i + t ɨ + n o		Boran	0			
2568	AchuarShiwiar	bad (deleterious or unsuitable)	tunáu	tunáu	t u n !áu/au	From the semantics seems that the first form here is more related to EVIL and the secod form is discarted as main because of order: pasé,nápchau	Chicham	0			
2794	Canichana	bad (deleterious or unsuitable)	itxmupse	itxmupse	i t h m u p s e	Because of order of entries, here is the variant: psemek	Canichana	0			
3197	Shiwilu	bad (deleterious or unsuitable)	mukankinpu'	mukankinpu'	m u k a n g i m b u ʔ		Cahuapanan	0			
3377	Shuar	bad (deleterious or unsuitable)	yajáuch’	yajáuch’	j a h !áu/au tʃ i		Chicham	0			
3624	Omurano	bad (deleterious or unsuitable)	atšámani	atšámani	a tʃ !á/a m a n i	Tessmann: schlect (?)	Omurano	0			
3746	Urarina	bad (deleterious or unsuitable)	baas̪ú	baas̪ú	b a a s !̪ú/u		Urarina	0			
4058	Wampis	bad (deleterious or unsuitable)	penkerchau	penkerchau	p e n k e r tʃ a u		Chicham	0			
4446	Yanesha	bad (deleterious or unsuitable)	sosej	sosej	s o s e j		Arawakan	0			
4484	Zaparo	bad (deleterious or unsuitable)	tsɨraniaka	tsɨraniaka	ts ɨ r a n i a k a		Zaparoan	0			
8	Iquito	bark	ísɨkɨ	ísɨkɨ	!í/i s ɨ k ɨ	tree bark	Zaparoan	0			
328	Ocaina	bark	dʲakã́	dʲakã́	dʲ a k !ã́/a		Huitotoan	0			
329	Ocaina	bark	xonɯ́ɯ́ʔka	xonɯ́ɯ́ʔka	x o n !ɯ́ɯ́/ɯː ʔ k a		Huitotoan	0			
531	Resigaro	bark	daʔmí	daʔmí	d a ʔ m !í/i		Arawakan	0			
720	WitotoMinica	bark	igóraɯ	igóraɯ	i g !ó/o !r/ɾ a ɯ		Huitotoan	0			
935	WitotoMurui	bark	igoraɯ	igoraɯ	i g o r aɯ		Huitotoan	0			
1141	WitotoNipode	bark	igóraɯ	igóraɯ	i g !ó/o !r/ɾ a ɯ		Huitotoan	0			
1260	Aguaruna	bark	saɨpɨ	saɨpɨ	s əɨ p ɨ		Chicham	0			
1526	Candoshi-Shapra	bark	koɾotanaʂi	koɾotanaʂi	k o ɾ o t a n a ʂ i		Candoshi-Shapra	0			
1762	Muniche	bark	tʃatpiçɨ	tʃatpiçɨ	tʃ a t p i ç ɨ		Muniche	0			
1882	Taushiro	bark	awaʔitʃi	awaʔitʃi	a w a ʔ i tʃ i		Taushiro	0			
1984	Waorani	bark	õtapo	õtapo	!õ/o t a p o		Waorani	0			
2304	Proto-Bora-Muinane	bark	-meeʔu	-meeʔu	m e e ʔ u			0			
2305	Bora	bark	-mɨ́ɨ́ʔo	-mɨ́ɨ́ʔo	m !ɨ́/ɨ !ɨ́/ɨ ʔ o		Boran	0			
2306	Muinane	bark	kuu-mééʔu	kuu-mééʔu	k u u + m !é/e !é/e ʔ u		Boran	0			
2569	AchuarShiwiar	bark	sáap	sáap	s !áa/aː p		Chicham	0			
2910	Juri	bark	coinoá	coinoá	c o i n o !á/a	Martius: cortex	Ticuna-Yuri	0			
3198	Shiwilu	bark	chipitek	chipitek	tʃ i p i tˀ ə k		Cahuapanan	0			
3378	Shuar	bark	saep	saep	s a ɨ p		Chicham	0			
3856	Urarina	bark	ʤɨhɨd̺aá	ʤɨhɨd̺aá	dʒ ɨ h ɨ d a !á/a		Urarina	0			
3944	Wampis	bark	saepe	saepe	s a e p e	possessed	Chicham	0			
4125	Yagua	bark	jiway	jiway	h i w a j		Peba-Yagua	0			
4317	Yanesha	bark	pataʝ	pataʝ	p a t a ʝ		Arawakan	0			
4485	Zaparo	bark	nakuna ichawkɨ	nakuna ichawkɨ	n a k u n a + i tʃ au k ɨ		Zaparoan	0			
10	Iquito	because	iyaamiaákuji	iyaamiaákuji	i j aː mʲ aː k u h i	because	Zaparoan	0			
1261	Aguaruna	because	wagkapa	wagkapa	w a ŋ k a p a		Chicham	0			
1985	Waorani	because	bejæ̃	bejæ̃	b e j !æ̃/æ		Waorani	0			
3199	Shiwilu	because	malek	malek	m a l ə ˀk		Cahuapanan	0			
4082	Wampis	because	-sa	-sa	s a	a subordinator -sa (or other subordinators) is used	Chicham	0			
4259	Yagua	because	taraju̠	taraju̠	t a r a h !u̠/u		Peba-Yagua	0			
4477	Yanesha	because	ɲeɲtʲoˀmaɾ	ɲeɲtʲoˀmaɾ	ɲ e ɲ tʲ o ʔ m a ɾ		Arawakan	0			
11	Iquito	belly	tanaka	tanaka	t a n a k a	belly	Zaparoan	0			
203	Ocaina	belly	gáɸotʲo	gáɸotʲo	g !á/a ɸ o tʲ o		Huitotoan	0			
333	Ocaina	belly	gááho	gááho	g !áá/aː h o		Huitotoan	0			
455	Resigaro	belly	atʰéʔeemú	atʰéʔeemú	a tʰ !é/e ʔ eː m !ú/u		Arawakan	0			
534	Resigaro	belly	iiʔʃaú	iiʔʃaú	iː ʔ ʃ a !ú/u		Arawakan	0			
628	WitotoMinica	belly	hébe	hébe	h !é/e b e		Huitotoan	0			
629	WitotoMinica	belly	hébekɯ	hébekɯ	h !é/e b e k ɯ		Huitotoan	0			
630	WitotoMinica	belly	moi idu	moi idu	m o i + i d u		Huitotoan	0			
724	WitotoMinica	belly	hébe	hébe	h !é/e b e		Huitotoan	0			
725	WitotoMinica	belly	hébekɯ	hébekɯ	h !é/e b e k ɯ		Huitotoan	0			
847	WitotoMurui	belly	hébe	hébe	h !é/e b e		Huitotoan	0			
848	WitotoMurui	belly	ɸenaɯ hiʤakɯ	ɸenaɯ hiʤakɯ	ɸ e n aɯ + h i dʒ a k ɯ		Huitotoan	0			
939	WitotoMurui	belly	hebe	hebe	h e b e		Huitotoan	0			
940	WitotoMurui	belly	ɸenaɯ	ɸenaɯ	ɸ e n aɯ		Huitotoan	0			
1057	WitotoNipode	belly	hébe	hébe	h !é/e b e		Huitotoan	0			
1058	WitotoNipode	belly	nemúigɯ	nemúigɯ	n e m !ú/u i g ɯ		Huitotoan	0			
1145	WitotoNipode	belly	hébe	hébe	h !é/e b e		Huitotoan	0			
1262	Aguaruna	belly	tantan	tantan	t a n t a n		Chicham	0			
1395	Arabela	belly	saɾaka	saɾaka	s a ɾ a k a		Zaparoan	0			
1527	Candoshi-Shapra	belly	tintiɾantʃitʃ	tintiɾantʃitʃ	t i n t i ɾ a n tʃ i tʃ		Candoshi-Shapra	0			
1636	Chayahuita	belly	pɨtoyoʔnan	pɨtoyoʔnan	p ɨ t o j o ʔ n a n		Cahuapanan	0			
1763	Muniche	belly	pdisti	pdisti	p d i s t i		Muniche	0			
1883	Taushiro	belly	aʔkuɨntɨ	aʔkuɨntɨ	a ʔ k u ɨ n t ɨ		Taushiro	0			
1986	Waorani	belly	jãdeka	jãdeka	j !ã/a d e k a		Waorani	0			
2117	Proto-Bora-Muinane	belly	iiʔba	iiʔba	i i ʔ b a			0			
2118	Bora	belly	íʔpá-ɯ	íʔpá-ɯ	!í/i ʔ p !á/a + ɯ		Boran	0			
2119	Muinane	belly	ííba	ííba	!í/i !í/i b a		Boran	0			
2319	Proto-Bora-Muinane	belly	iiʔba	iiʔba	i i ʔ b a			0			
2320	Bora	belly	íʔpáɯ	íʔpáɯ	!í/i ʔ p !á/a ɯ		Boran	0			
2321	Muinane	belly	íiba	íiba	!í/i i b a		Boran	0			
2570	AchuarShiwiar	belly	wáke	wáke	w !á/a k ɨ		Chicham	0			
3200	Shiwilu	belly	merpi	merpi	m ə ɾ p i		Cahuapanan	0			
3379	Shuar	belly	tantán	tantán	t a n t !á/a n		Chicham	0			
3593	Omurano	belly	anaθawuápa	anaθawuápa	a n a θ a w u !á/a p a	Tessmann: Bauch	Omurano	0			
3665	Yameo	belly	(ī)wē	wē	w !ē/e	Tessmann: Bauch	Peba-Yagua	0			
3732	Urarina	belly	s̪ɨd̺í	s̪ɨd̺í	s ɨ d !̺í/i		Urarina	0			
3968	Wampis	belly	tantan	tantan	t a n t a n		Chicham	0			
4108	Yagua	belly	pïde	pïde	p !ï/i d e		Peba-Yagua	0			
4292	Yanesha	belly	kotmat͡s	kotmat͡s	k o t m a ts		Arawakan	0			
4486	Zaparo	belly	tawaka	tawaka	t a w a k a		Zaparoan	0			
4320	Yanesha	berry (or fruit)	at͡ssomapó/  aʀapo / naɾmet͡s	at͡ssomapó	a ts s o m a p !ó/o		Arawakan	0			
4321	Yanesha	berry (or fruit)	at͡ssomapó/  aʀapo / naɾmet͡s	aʀapo	a ʀ a p o		Arawakan	0			
4322	Yanesha	berry (or fruit)	at͡ssomapó/  aʀapo / naɾmet͡s	naɾmet͡s	n a ɾ m e ts		Arawakan	0			
12	Iquito	big	aniita	aniita	a n iː t a	big	Zaparoan	0			
307	Ocaina	big	óóxɯ	óóxɯ	!óó/oː x ɯ		Huitotoan	0			
308	Ocaina	big	oxííha	oxííha	o x !íí/iː h a		Huitotoan	0			
514	Resigaro	big	ʤiʤa	ʤiʤa	dʒ i dʒ a		Arawakan	0			
515	Resigaro	big	kobú	kobú	k o b !ú/u		Arawakan	0			
702	WitotoMinica	big	áiʤue	áiʤue	!á/a i dʒ u e		Huitotoan	0			
919	WitotoMurui	big	aiʤue	aiʤue	ai dʒ u e		Huitotoan	0			
1125	WitotoNipode	big	áiʤue	áiʤue	!á/a i dʒ u e		Huitotoan	0			
1263	Aguaruna	big	muun	muun	m ʊː n		Chicham	0			
1396	Arabela	big	pueɾeetuuka	pueɾeetuuka	p u e ɾ eː t uː k a		Zaparoan	0			
1528	Candoshi-Shapra	big	kapoŋko	kapoŋko	k a p o ŋ k o		Candoshi-Shapra	0			
1637	Chayahuita	big	panka	panka	p a n k a		Cahuapanan	0			
1764	Muniche	big	nane	nane	n a n e		Muniche	0			
1884	Taushiro	big	hoʔhua	hoʔhua	h o ʔ h u a		Taushiro	0			
1987	Waorani	big	jæ̃dæ̃	jæ̃dæ̃	j !æ̃/æ d !æ̃/æ		Waorani	0			
2257	Proto-Bora-Muinane	big	mita-no	mita-no	m i t a + n o			0			
2258	Proto-Bora-Muinane	big	giraa	giraa	g i r a a			0			
2259	Bora	big	mitʰʲa-ne	mitʰʲa-ne	m i tʰʲ a + n e		Boran	0			
2260	Muinane	big	mítʲa-no	mítʲa-no	m !í/i tʲ a + n o		Boran	0			
2571	AchuarShiwiar	big	juun	juun	h uː n	In other examples the main form appears, but this form has no other appearance: juunt	Chicham	0			
2756	Andoa	big	nakamáro	nakamáro	n a k a m !á/a r o		Zaparoan	0			
2795	Canichana	big	nihi-mara	nihi-mara	n i h i + m a ɾ a		Canichana	0			
2939	Juri	big	tihi	tihi	t i ʔ i	Martius: magnus	Ticuna-Yuri	0			
2940	Juri	big	tiy	tiy	t i j	Martius: magnus	Ticuna-Yuri	0			
3055	Coeruna	big	vaamö	vaamö	v a a m !ö/o	Martius: magnus, a, um	Huitotoan	0			
3151	MiranhaCarapana-Tapuya	big	nánzümĕ	nánzümĕ	n !á/a n z ɨ m !ĕ/e	Martius: magnus, a, um	Huitotoan	0			
3201	Shiwilu	big	a’llupi	a’llupi	a ʔ ʎ u p i		Cahuapanan	0			
3380	Shuar	big	úunt	úunt	!úu/uː n t		Chicham	0			
