ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	FAMILY	COGID	COGIDS	MORPHEMES	BORROWING
78	Iquito	I	kí=	kí=	k !í/i	I	Zaparoan	0			
283	Ocaina	I	xõ	xõ	x !õ/o		Huitotoan	0			
284	Ocaina	I	xõɯ̃	xõɯ̃	x !õ/o !ɯ̃/ɯ		Huitotoan	0			
507	Resigaro	I	n̥ó	n̥ó	n̥ !ó/o		Arawakan	0			
691	WitotoMinica	I	kúe	kúe	k !ú/u e		Huitotoan	0			
908	WitotoMurui	I	kue	kue	k u e		Huitotoan	0			
1114	WitotoNipode	I	kúe	kúe	k !ú/u e		Huitotoan	0			
1309	Aguaruna	I	wi	wi	w i		Chicham	0			
1443	Arabela	I	kwa	kwa	k ua		Zaparoan	0			
1567	Candoshi-Shapra	I	nowa	nowa	n o w a		Candoshi-Shapra	0			
1683	Chayahuita	I	ka	ka	k a		Cahuapanan	0			
1808	Muniche	I	aʔpaʔnɨ	aʔpaʔnɨ	a ʔ p a ʔ n ɨ		Muniche	0			
1922	Taushiro	I	ujo	ujo	u j o		Taushiro	0			
2026	Waorani	I	botõ	botõ	b o t !õ/o		Waorani	0			
2236	Proto-Bora-Muinane	I	uu	uu	u u			0			
2237	Bora	I	oó	oó	o !ó/o		Boran	0			
2238	Muinane	I	úú-hóʔo	úú-hóʔo	!ú/u !ú/u + h !ó/o ʔ o		Boran	0			
2636	AchuarShiwiar	I	wi	wi	v i		Chicham	0			
2770	Andoa	I	kijá	kijá	k i h !á/a		Zaparoan	0			
2826	Canichana	I	oxale	oxale	o h a l e		Canichana	0			
2920	Juri	I	tshuu	tshuu	ts u u	Martius: ego	Ticuna-Yuri	0			
2921	Juri	I	súu	súu	s !ú/u u	Martius: ego	Ticuna-Yuri	0			
3048	Coeruna	I	coáe	coáe	k o !á/a e	Martius: ego	Huitotoan	0			
3144	MiranhaCarapana-Tapuya	I	cui	cui	k u i	Martius: ego	Huitotoan	0			
3257	Shiwilu	I	kenmu’	kenmu’	kˀ ə n m u ʔ	inclusive form	Cahuapanan	0			
3258	Shiwilu	I	kua	kua	kʷ a	exclusive form	Cahuapanan	0			
3438	Shuar	I	wi	wi	w i		Chicham	0			
3751	Urarina	I	kan̪ɨ̃́	kan̪ɨ̃́	k a n !̪ɨ̃́/ɨ		Urarina	0			
3887	Wampis	I	wi	wi	w i		Chicham	0			
4157	Yagua	I	ra	ra	r a		Peba-Yagua	0			
4360	Yanesha	I	na	na	n a		Arawakan	0			
4531	Zaparo	I	kwihya	kwihya	kʷ i hʲ a		Zaparoan	0			
1	Iquito	all (of a number)	pɨyɨ́ɨni	pɨyɨ́ɨni	p ɨ j !ɨ́ɨ/ɨː n i	all	Zaparoan	0			
323	Ocaina	all (of a number)	ʧíí	ʧíí	tʃ !íí/iː		Huitotoan	0			
324	Ocaina	all (of a number)	ʧííβa	ʧííβa	tʃ !íí/iː β a		Huitotoan	0			
325	Ocaina	all (of a number)	hã́tiʔ	hã́tiʔ	h !ã́/a t i ʔ		Huitotoan	0			
528	Resigaro	all (of a number)	pʰéʔtóʔ	pʰéʔtóʔ	pʰ !é/e ʔ t !ó/o ʔ		Arawakan	0			
716	WitotoMinica	all (of a number)	nána	nána	n !á/a n a		Huitotoan	0			
932	WitotoMurui	all (of a number)	nana	nana	n a n a		Huitotoan	0			
1138	WitotoNipode	all (of a number)	nána	nána	n !á/a n a		Huitotoan	0			
1255	Aguaruna	all (of a number)	aʃi	aʃi	a ʃ i		Chicham	0			
1391	Arabela	all (of a number)	puetunuj̃uanaa	puetunuj̃uanaa	p u e t u n u !h̃/h u a n aː		Zaparoan	0			
1522	Candoshi-Shapra	all (of a number)	itʃiŋkoɾo	itʃiŋkoɾo	i tʃ i ŋ k o ɾ o		Candoshi-Shapra	0			
1632	Chayahuita	all (of a number)	yaʔipi	yaʔipi	j a ʔ i p i		Cahuapanan	0			
1878	Taushiro	all (of a number)	awun	awun	a w u n		Taushiro	0			
1980	Waorani	all (of a number)	tõbãdãdi	tõbãdãdi	t !õ/o b !ã/a d !ã/a d i		Waorani	0			
2295	Proto-Bora-Muinane	all (of a number)	pa-no	pa-no	p a + n o			0			
2296	Bora	all (of a number)	pʰá-neé-re	pʰá-neé-re	pʰ !á/a + n e !é/e + r e		Boran	0			
2297	Muinane	all (of a number)	ɸáá-no	ɸáá-no	ɸ !á/a !á/a + n o		Boran	0			
2561	AchuarShiwiar	all (of a number)	ashí	ashí	a ʃ !í/i	From the examples seems that this is the least used form: mash	Chicham	0			
2792	Canichana	all (of a number)	mata	mata	m a t a		Canichana	0			
3191	Shiwilu	all (of a number)	iñer'	iñer'	i ɲ ə ˀr		Cahuapanan	0			
3369	Shuar	all (of a number)	másh’,mashi	másh’	m !á/a ʃ i		Chicham	0			
3370	Shuar	all (of a number)	másh’,mashi	mashi	m a ʃ i		Chicham	0			
3811	Urarina	all (of a number)	s̪at̪ĩ́ĩ́	s̪at̪ĩ́ĩ́	s a t !̪ĩ́/i !ĩ́/i		Urarina	0			
3903	Wampis	all (of a number)	ashi	ashi	a ʃ i		Chicham	0			
4468	Yanesha	all (of a number)	aʎowenet	aʎowenet	a ʎ o w e n e t		Arawakan	0			
4481	Zaparo	all (of a number)	kawiryaha	kawiryaha	k a w i rʲ a h a		Zaparoan	0			
2	Iquito	and	músati	músati	m !ú/u s a t i	and	Zaparoan	0			
2562	AchuarShiwiar	and	túrua	túrua	t !ú/u r ua	Because of order of the entries: túra	Chicham	0			
3192	Shiwilu	and	=lek	=lek	l ə ˀk		Cahuapanan	0			
3371	Shuar	and	-sha	-sha	ʃ a		Chicham	0			
3855	Urarina	and	ʧããẽ́	ʧããẽ́	tʃ !ã/a !ã/a !ẽ́/e		Urarina	0			
4080	Wampis	and	tura	tura	t u r a		Chicham	0			
4258	Yagua	and	chi	chi	tʃ i		Peba-Yagua	0			
4476	Yanesha	and	ɲamʲa	ɲamʲa	ɲ a mʲ a		Arawakan	0			
3	Iquito	animal	tasiitáani	tasiitáani	t a s iː t !áa/aː n i	animal	Zaparoan	0			
1256	Aguaruna	animal	kuntin	kuntin	k ʊ n t i n		Chicham	0			
1392	Arabela	animal	kasaa	kasaa	k a s aː		Zaparoan	0			
1633	Chayahuita	animal	maʔʃa	maʔʃa	m a ʔ ʃ a		Cahuapanan	0			
1879	Taushiro	animal	nijiʔi	nijiʔi	n i j i ʔ i		Taushiro	0			
1981	Waorani	animal	kæ̃dĩgã	kæ̃dĩgã	k !æ̃/æ d !ĩ/i g !ã/a		Waorani	0			
2563	AchuarShiwiar	animal	ikiámia páchim	ikiámia páchim	i kʲ a mʲ a + p !á/a tʃ i m	wild animal	Chicham	0			
2564	AchuarShiwiar	animal	tángku	tángku	t !á/a ŋ k u	domesticated animal	Chicham	0			
3030	Coeruna	animal	tschoaimá	tschoaimá	dʒ o a i m !á/a	Martius: animal	Huitotoan	0			
3127	MiranhaCarapana-Tapuya	animal	thücke	thücke	t ɨ k e	Martius: animal	Huitotoan	0			
3193	Shiwilu	animal	añimer	añimer	a ɲ i m ə ɾ	Spanish	Cahuapanan	0			
3372	Shuar	animal	tanku	tanku	t a ŋ k u	animal doméstico	Chicham	0			
3878	Urarina	animal	t̪aibin̪ããẽ́	t̪aibin̪ããẽ́	t a i b i n !̪ã/a !ã/a !ẽ́/e		Urarina	0			
3931	Wampis	animal	kuntin	kuntin	k u n t i n		Chicham	0			
4084	Yagua	animal	jawada	jawada	h a w a d a		Peba-Yagua	0			
4261	Yanesha	animal	oʎwa	oʎwa	o ʎ w a		Arawakan	0			
