Doculect A	Doculect B	Concept	Form A	Form B	Cogid	Distance from Identity Score	Levenshtein Distance	Bigram Distance	Trigram Distance	Combined Distance	Same Family?
Iquito	Zaparo	at	h i n a	h i ɲ a	72	0.43999999999999995	0.25	0.25	0.2	0.285	yes
Iquito	Arabela	bad (deleterious or unsuitable)	s ɨː s a n a	s ɨ s aː k a	102	0.52	0.5	0.5	0.380952380952381	0.47523809523809524	yes
Iquito	Arabela	to live	i w iː n i	k i n i u	2552	0.64	0.8	0.6	0.4444444444444445	0.6211111111111112	yes
Iquito	Zaparo	to live	i w iː n i	i k i ɲ u	2552	0.52	0.8	0.7	0.5555555555555555	0.6438888888888888	yes
Iquito	Arabela	to bite	s ɨː n i	s aː n i u	2183	0.64	0.4	0.4	0.38888888888888884	0.4572222222222222	yes
Iquito	Zaparo	to bite	s ɨː n i	ts a i ɲ u	2183	0.64	1.0	0.8	0.7222222222222222	0.7905555555555557	yes
Iquito	Arabela	to blow (of wind)	n uː n i	n oː n i u	2198	0.64	0.4	0.4	0.38888888888888884	0.4572222222222222	yes
Iquito	Arabela	bone	n iː k i	n u k u	284	0.48	0.5	0.375	0.3333333333333333	0.4220833333333333	yes
Iquito	MiranhaCarapana-Tapuya	bone	n iː k i	n a k o o	284	0.72	0.6	0.5	0.49999999999999994	0.58	no
Iquito	Zaparo	bone	n iː k i	u k u	284	0.64	0.75	0.625	0.6	0.65375	yes
Iquito	Arabela	cloud	a n a h a k a	n a h a k a	321	0.64	0.14285714285714285	0.21428571428571427	0.16666666666666666	0.29095238095238096	yes
Iquito	Arabela	to come	a n iː n i	n i n i u	2235	0.64	0.6	0.5	0.38888888888888884	0.5322222222222222	yes
Iquito	Yanesha	to come	a n iː n i	w e ɲ e ts	2235	0.72	1.0	0.9	0.7777777777777778	0.8494444444444444	no
Iquito	Zaparo	to come	a n iː n i	a n i ɲ u	2235	0.48	0.6	0.5	0.3333333333333333	0.47833333333333333	yes
Iquito	Arabela	to drink	r a r iː n i	ɾ a t u n u	2310	0.52	0.6666666666666666	0.5833333333333334	0.5238095238095238	0.5734523809523809	yes
Iquito	Yanesha	to drink	r a r iː n i	o ɹ e t e ɲ e ts	2310	0.72	1.0	0.9375	0.8518518518518519	0.877337962962963	no
Iquito	Zaparo	to drink	r a r iː n i	r a t u n u	2310	0.52	0.5	0.4166666666666667	0.33333333333333337	0.4425	yes
Iquito	Zaparo	to eat	a s aː n i	a ts a n u	2335	0.52	0.6	0.5	0.4444444444444444	0.5161111111111112	yes
Iquito	Arabela	eye	n a m i h a	n a m i h i a	519	0.64	0.14285714285714285	0.21428571428571427	0.16666666666666666	0.29095238095238096	yes
Iquito	Andoa	eye	n a m i h a	n a m i h j a	519	0.64	0.14285714285714285	0.21428571428571427	0.20833333333333331	0.30136904761904765	yes
Iquito	Zaparo	eye	n a m i h a	n a m i hʲ a	519	0.43999999999999995	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.229047619047619	yes
Iquito	Yanesha	to fall (drop rather than topple)	i t ɨː n i	a t e ɲ e ts	2360	0.72	0.8333333333333334	0.75	0.6666666666666667	0.7424999999999999	no
Iquito	Zaparo	to fall (drop rather than topple)	i t ɨː n i	ɨ t ɨ kʷ a n u	2360	0.64	0.7142857142857143	0.6428571428571429	0.6249999999999999	0.6555357142857143	yes
Iquito	Andoa	father	a k ɨ	kʷ a k i	574	0.64	0.5	0.5	0.39999999999999997	0.51	yes
Iquito	Zaparo	to fear	k ɨː r ɨː n i	p ɨ r ɨ n u	2376	0.48	0.6666666666666666	0.5833333333333334	0.5238095238095238	0.5634523809523809	yes
Iquito	Arabela	feather (larger feathers rather than down)	k a h a s i	k a h a s u	593	0.48	0.16666666666666666	0.08333333333333333	0.09523809523809523	0.2063095238095238	yes
Iquito	Andoa	feather (larger feathers rather than down)	k a h a s i	k a h a s o	593	0.48	0.16666666666666666	0.08333333333333333	0.09523809523809523	0.2063095238095238	yes
Iquito	Yagua	feather (larger feathers rather than down)	k a h a s i	s a s i	593	0.72	0.5	0.5	0.42857142857142855	0.5371428571428571	no
Iquito	Zaparo	feather (larger feathers rather than down)	k a h a s i	k a h aː kʷ a	593	0.52	0.5	0.4166666666666667	0.2857142857142857	0.43059523809523814	yes
