Source Doculect	Target Doculect	Concept	Form	Borrowed Form	Cogid	Distance from Identity Score	Levenshtein Distance	Bigram Distance	Trigram Distance	Combined Distance	Same Family?
Iquito	Ocaina	I	kí=	xõ	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	no
Iquito	Ocaina	I	kí=	xõɯ̃	2	0.75	1.0	0.875	0.7333333333333333	0.8395833333333333	no
Iquito	WitotoMinica	I	kí=	kúe	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
Iquito	WitotoMurui	I	kí=	kue	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
Iquito	WitotoNipode	I	kí=	kúe	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
Iquito	Arabela	I	kí=	kwa	2	0.5	0.6666666666666666	0.5	0.41666666666666663	0.5208333333333333	yes
Iquito	Chayahuita	I	kí=	ka	2	0.5833333333333333	0.6666666666666666	0.5	0.5	0.5625	no
Iquito	Andoa	I	kí=	kijá	2	0.6666666666666667	0.75	0.625	0.5333333333333333	0.64375	yes
Iquito	MiranhaCarapana-Tapuya	I	kí=	cui	2	0.75	1.0	0.8333333333333334	0.6666666666666666	0.8125	no
Iquito	Shiwilu	I	kí=	kua	2	0.5833333333333333	0.6666666666666666	0.5	0.41666666666666663	0.5416666666666666	no
Iquito	Urarina	I	kí=	kan̪ɨ̃́	2	0.75	0.8571428571428571	0.7857142857142857	0.7083333333333334	0.7752976190476191	no
Iquito	Zaparo	I	kí=	kwihya	2	0.6666666666666667	0.8333333333333334	0.75	0.6666666666666667	0.7291666666666667	yes
Ocaina	Iquito	I	xõ	kí=	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	no
Ocaina	WitotoMinica	I	xõ	kúe	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	yes
Ocaina	WitotoMurui	I	xõ	kue	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	yes
Ocaina	WitotoNipode	I	xõ	kúe	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	yes
Ocaina	Arabela	I	xõ	kwa	2	0.5833333333333333	1.0	0.8333333333333334	0.6666666666666666	0.7708333333333333	no
Ocaina	Chayahuita	I	xõ	ka	2	0.5833333333333333	1.0	0.75	0.5555555555555555	0.7222222222222221	no
Ocaina	Andoa	I	xõ	kijá	2	0.7083333333333333	1.0	0.875	0.7333333333333333	0.8291666666666666	no
Ocaina	MiranhaCarapana-Tapuya	I	xõ	cui	2	0.6666666666666667	1.0	0.8333333333333334	0.6666666666666666	0.7916666666666666	yes
Ocaina	Shiwilu	I	xõ	kua	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	no
Ocaina	Urarina	I	xõ	kan̪ɨ̃́	2	0.7083333333333333	1.0	0.9285714285714286	0.8333333333333334	0.8675595238095238	no
Ocaina	Zaparo	I	xõ	kwihya	2	0.7083333333333333	1.0	0.9166666666666666	0.8095238095238095	0.8586309523809523	no
Ocaina	Iquito	I	xõɯ̃	kí=	2	0.75	1.0	0.875	0.7333333333333333	0.8395833333333333	no
Ocaina	WitotoMinica	I	xõɯ̃	kúe	2	0.5	1.0	0.875	0.7333333333333333	0.7770833333333333	yes
Ocaina	WitotoMurui	I	xõɯ̃	kue	2	0.5	1.0	0.875	0.7333333333333333	0.7770833333333333	yes
Ocaina	WitotoNipode	I	xõɯ̃	kúe	2	0.5	1.0	0.875	0.7333333333333333	0.7770833333333333	yes
Ocaina	Arabela	I	xõɯ̃	kwa	2	0.7083333333333333	1.0	0.875	0.7333333333333333	0.8291666666666666	no
Ocaina	Chayahuita	I	xõɯ̃	ka	2	0.7083333333333333	1.0	0.875	0.7333333333333333	0.8291666666666666	no
Ocaina	Andoa	I	xõɯ̃	kijá	2	0.7083333333333333	1.0	0.875	0.7333333333333333	0.8291666666666666	no
Ocaina	MiranhaCarapana-Tapuya	I	xõɯ̃	cui	2	0.5416666666666667	1.0	0.875	0.7333333333333333	0.7875000000000001	yes
Ocaina	Shiwilu	I	xõɯ̃	kua	2	0.75	1.0	0.875	0.7333333333333333	0.8395833333333333	no
Ocaina	Urarina	I	xõɯ̃	kan̪ɨ̃́	2	0.7083333333333333	0.8571428571428571	0.8571428571428571	0.75	0.7931547619047619	no
Ocaina	Zaparo	I	xõɯ̃	kwihya	2	0.7083333333333333	1.0	0.9166666666666666	0.8095238095238095	0.8586309523809523	no
Resigaro	Yanesha	I	n̥ó	na	9	0.45833333333333337	0.6666666666666666	0.5	0.5	0.53125	yes
WitotoMinica	Iquito	I	kúe	kí=	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
WitotoMinica	Ocaina	I	kúe	xõ	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	yes
WitotoMinica	Ocaina	I	kúe	xõɯ̃	2	0.5	1.0	0.875	0.7333333333333333	0.7770833333333333	yes
WitotoMinica	WitotoMurui	I	kúe	kue	2	0.25	0.3333333333333333	0.3333333333333333	0.25	0.29166666666666663	yes
WitotoMinica	WitotoNipode	I	kúe	kúe	2	0.16666666666666663	0.0	0.0	0.0	0.04166666666666666	yes
WitotoMinica	Arabela	I	kúe	kwa	2	0.7083333333333333	0.6666666666666666	0.5	0.41666666666666663	0.5729166666666666	no
WitotoMinica	Chayahuita	I	kúe	ka	2	0.7083333333333333	0.6666666666666666	0.5	0.5	0.59375	no
WitotoMinica	Andoa	I	kúe	kijá	2	0.7083333333333333	0.75	0.625	0.5333333333333333	0.6541666666666666	no
WitotoMinica	MiranhaCarapana-Tapuya	I	kúe	cui	2	0.5	1.0	0.8333333333333334	0.6666666666666666	0.75	yes
WitotoMinica	Shiwilu	I	kúe	kua	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
WitotoMinica	Urarina	I	kúe	kan̪ɨ̃́	2	0.7083333333333333	0.8571428571428571	0.7857142857142857	0.7083333333333334	0.7648809523809523	no
WitotoMinica	Zaparo	I	kúe	kwihya	2	0.7083333333333333	0.8333333333333334	0.75	0.6666666666666667	0.7395833333333333	no
WitotoMurui	Iquito	I	kue	kí=	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
WitotoMurui	Ocaina	I	kue	xõ	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	yes
WitotoMurui	Ocaina	I	kue	xõɯ̃	2	0.5	1.0	0.875	0.7333333333333333	0.7770833333333333	yes
WitotoMurui	WitotoMinica	I	kue	kúe	2	0.25	0.3333333333333333	0.3333333333333333	0.25	0.29166666666666663	yes
WitotoMurui	WitotoNipode	I	kue	kúe	2	0.25	0.3333333333333333	0.3333333333333333	0.25	0.29166666666666663	yes
WitotoMurui	Arabela	I	kue	kwa	2	0.7083333333333333	0.6666666666666666	0.5	0.41666666666666663	0.5729166666666666	no
WitotoMurui	Chayahuita	I	kue	ka	2	0.7083333333333333	0.6666666666666666	0.5	0.5	0.59375	no
WitotoMurui	Andoa	I	kue	kijá	2	0.7083333333333333	0.75	0.625	0.5333333333333333	0.6541666666666666	no
WitotoMurui	MiranhaCarapana-Tapuya	I	kue	cui	2	0.5	0.6666666666666666	0.5	0.41666666666666663	0.5208333333333333	yes
WitotoMurui	Shiwilu	I	kue	kua	2	0.75	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.3541666666666667	no
WitotoMurui	Urarina	I	kue	kan̪ɨ̃́	2	0.7083333333333333	0.8571428571428571	0.7857142857142857	0.7083333333333334	0.7648809523809523	no
WitotoMurui	Zaparo	I	kue	kwihya	2	0.7083333333333333	0.8333333333333334	0.75	0.6666666666666667	0.7395833333333333	no
WitotoNipode	Iquito	I	kúe	kí=	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
WitotoNipode	Ocaina	I	kúe	xõ	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	yes
WitotoNipode	Ocaina	I	kúe	xõɯ̃	2	0.5	1.0	0.875	0.7333333333333333	0.7770833333333333	yes
WitotoNipode	WitotoMinica	I	kúe	kúe	2	0.16666666666666663	0.0	0.0	0.0	0.04166666666666666	yes
WitotoNipode	WitotoMurui	I	kúe	kue	2	0.25	0.3333333333333333	0.3333333333333333	0.25	0.29166666666666663	yes
WitotoNipode	Arabela	I	kúe	kwa	2	0.7083333333333333	0.6666666666666666	0.5	0.41666666666666663	0.5729166666666666	no
WitotoNipode	Chayahuita	I	kúe	ka	2	0.7083333333333333	0.6666666666666666	0.5	0.5	0.59375	no
WitotoNipode	Andoa	I	kúe	kijá	2	0.7083333333333333	0.75	0.625	0.5333333333333333	0.6541666666666666	no
WitotoNipode	MiranhaCarapana-Tapuya	I	kúe	cui	2	0.5	1.0	0.8333333333333334	0.6666666666666666	0.75	yes
WitotoNipode	Shiwilu	I	kúe	kua	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
WitotoNipode	Urarina	I	kúe	kan̪ɨ̃́	2	0.7083333333333333	0.8571428571428571	0.7857142857142857	0.7083333333333334	0.7648809523809523	no
WitotoNipode	Zaparo	I	kúe	kwihya	2	0.7083333333333333	0.8333333333333334	0.75	0.6666666666666667	0.7395833333333333	no
Aguaruna	AchuarShiwiar	I	wi	wi	1	0.41666666666666663	0.0	0.0	0.0	0.10416666666666666	yes
Aguaruna	Shuar	I	wi	wi	1	0.16666666666666663	0.0	0.0	0.0	0.04166666666666666	yes
Aguaruna	Wampis	I	wi	wi	1	0.16666666666666663	0.0	0.0	0.0	0.04166666666666666	yes
Arabela	Iquito	I	kwa	kí=	2	0.5	0.6666666666666666	0.5	0.41666666666666663	0.5208333333333333	yes
Arabela	Ocaina	I	kwa	xõ	2	0.5833333333333333	1.0	0.8333333333333334	0.6666666666666666	0.7708333333333333	no
Arabela	Ocaina	I	kwa	xõɯ̃	2	0.7083333333333333	1.0	0.875	0.7333333333333333	0.8291666666666666	no
Arabela	WitotoMinica	I	kwa	kúe	2	0.7083333333333333	0.6666666666666666	0.5	0.41666666666666663	0.5729166666666666	no
Arabela	WitotoMurui	I	kwa	kue	2	0.7083333333333333	0.6666666666666666	0.5	0.41666666666666663	0.5729166666666666	no
Arabela	WitotoNipode	I	kwa	kúe	2	0.7083333333333333	0.6666666666666666	0.5	0.41666666666666663	0.5729166666666666	no
Arabela	Chayahuita	I	kwa	ka	2	0.5416666666666667	0.3333333333333333	0.5	0.41666666666666663	0.44791666666666663	no
Arabela	Andoa	I	kwa	kijá	2	0.625	0.75	0.625	0.5333333333333333	0.6333333333333333	yes
Arabela	MiranhaCarapana-Tapuya	I	kwa	cui	2	0.75	1.0	0.8333333333333334	0.6666666666666666	0.8125	no
Arabela	Shiwilu	I	kwa	kua	2	0.5833333333333333	0.3333333333333333	0.3333333333333333	0.25	0.37499999999999994	no
Arabela	Urarina	I	kwa	kan̪ɨ̃́	2	0.7083333333333333	0.8571428571428571	0.7142857142857143	0.6666666666666666	0.7366071428571428	no
Arabela	Zaparo	I	kwa	kwihya	2	0.625	0.5	0.5833333333333334	0.5238095238095238	0.5580357142857143	yes
Chayahuita	Iquito	I	ka	kí=	2	0.5833333333333333	0.6666666666666666	0.5	0.5	0.5625	no
Chayahuita	Ocaina	I	ka	xõ	2	0.5833333333333333	1.0	0.75	0.5555555555555555	0.7222222222222221	no
Chayahuita	Ocaina	I	ka	xõɯ̃	2	0.7083333333333333	1.0	0.875	0.7333333333333333	0.8291666666666666	no
Chayahuita	WitotoMinica	I	ka	kúe	2	0.7083333333333333	0.6666666666666666	0.5	0.5	0.59375	no
Chayahuita	WitotoMurui	I	ka	kue	2	0.7083333333333333	0.6666666666666666	0.5	0.5	0.59375	no
Chayahuita	WitotoNipode	I	ka	kúe	2	0.7083333333333333	0.6666666666666666	0.5	0.5	0.59375	no
Chayahuita	Arabela	I	ka	kwa	2	0.5416666666666667	0.3333333333333333	0.5	0.41666666666666663	0.44791666666666663	no
Chayahuita	Andoa	I	ka	kijá	2	0.7083333333333333	0.75	0.625	0.5999999999999999	0.6708333333333332	no
Chayahuita	MiranhaCarapana-Tapuya	I	ka	cui	2	0.75	1.0	0.8333333333333334	0.6666666666666666	0.8125	no
Chayahuita	Shiwilu	I	ka	kua	2	0.45833333333333337	0.3333333333333333	0.5	0.41666666666666663	0.42708333333333337	yes
Chayahuita	Urarina	I	ka	kan̪ɨ̃́	2	0.7083333333333333	0.7142857142857143	0.7142857142857143	0.6666666666666666	0.7008928571428571	no
Chayahuita	Zaparo	I	ka	kwihya	2	0.7083333333333333	0.6666666666666666	0.75	0.6666666666666666	0.6979166666666666	no
Proto-Bora-Muinane	Bora	I	uu	oó	3	0.5	1.0	0.75	0.5555555555555555	0.7013888888888888	no
Proto-Bora-Muinane	Muinane	I	uu	úú-hóʔo	3	0.6666666666666667	1.0	0.9285714285714286	0.8333333333333333	0.8571428571428572	no
Bora	Proto-Bora-Muinane	I	oó	uu	3	0.5	1.0	0.75	0.5555555555555555	0.7013888888888888	no
Bora	Muinane	I	oó	úú-hóʔo	3	0.625	0.8571428571428571	0.8571428571428571	0.7499999999999999	0.7723214285714286	yes
Muinane	Proto-Bora-Muinane	I	úú-hóʔo	uu	3	0.6666666666666667	1.0	0.9285714285714286	0.8333333333333333	0.8571428571428572	no
Muinane	Bora	I	úú-hóʔo	oó	3	0.625	0.8571428571428571	0.8571428571428571	0.7499999999999999	0.7723214285714286	yes
AchuarShiwiar	Aguaruna	I	wi	wi	1	0.41666666666666663	0.0	0.0	0.0	0.10416666666666666	yes
AchuarShiwiar	Shuar	I	wi	wi	1	0.41666666666666663	0.0	0.0	0.0	0.10416666666666666	yes
AchuarShiwiar	Wampis	I	wi	wi	1	0.41666666666666663	0.0	0.0	0.0	0.10416666666666666	yes
Andoa	Iquito	I	kijá	kí=	2	0.6666666666666667	0.75	0.625	0.5333333333333333	0.64375	yes
Andoa	Ocaina	I	kijá	xõ	2	0.7083333333333333	1.0	0.875	0.7333333333333333	0.8291666666666666	no
Andoa	Ocaina	I	kijá	xõɯ̃	2	0.7083333333333333	1.0	0.875	0.7333333333333333	0.8291666666666666	no
Andoa	WitotoMinica	I	kijá	kúe	2	0.7083333333333333	0.75	0.625	0.5333333333333333	0.6541666666666666	no
Andoa	WitotoMurui	I	kijá	kue	2	0.7083333333333333	0.75	0.625	0.5333333333333333	0.6541666666666666	no
Andoa	WitotoNipode	I	kijá	kúe	2	0.7083333333333333	0.75	0.625	0.5333333333333333	0.6541666666666666	no
Andoa	Arabela	I	kijá	kwa	2	0.625	0.75	0.625	0.5333333333333333	0.6333333333333333	yes
Andoa	Chayahuita	I	kijá	ka	2	0.7083333333333333	0.75	0.625	0.5999999999999999	0.6708333333333332	no
Andoa	MiranhaCarapana-Tapuya	I	kijá	cui	2	0.75	1.0	0.75	0.6666666666666666	0.7916666666666666	no
Andoa	Shiwilu	I	kijá	kua	2	0.75	0.75	0.625	0.5333333333333333	0.6645833333333333	no
Andoa	Urarina	I	kijá	kan̪ɨ̃́	2	0.5833333333333333	0.8571428571428571	0.7857142857142857	0.7083333333333334	0.7336309523809523	no
Andoa	Zaparo	I	kijá	kwihya	2	0.41666666666666663	0.6666666666666666	0.6666666666666666	0.5714285714285714	0.5803571428571428	yes
MiranhaCarapana-Tapuya	Iquito	I	cui	kí=	2	0.75	1.0	0.8333333333333334	0.6666666666666666	0.8125	no
MiranhaCarapana-Tapuya	Ocaina	I	cui	xõ	2	0.6666666666666667	1.0	0.8333333333333334	0.6666666666666666	0.7916666666666666	yes
MiranhaCarapana-Tapuya	Ocaina	I	cui	xõɯ̃	2	0.5416666666666667	1.0	0.875	0.7333333333333333	0.7875000000000001	yes
MiranhaCarapana-Tapuya	WitotoMinica	I	cui	kúe	2	0.5	1.0	0.8333333333333334	0.6666666666666666	0.75	yes
MiranhaCarapana-Tapuya	WitotoMurui	I	cui	kue	2	0.5	0.6666666666666666	0.5	0.41666666666666663	0.5208333333333333	yes
MiranhaCarapana-Tapuya	WitotoNipode	I	cui	kúe	2	0.5	1.0	0.8333333333333334	0.6666666666666666	0.75	yes
MiranhaCarapana-Tapuya	Arabela	I	cui	kwa	2	0.75	1.0	0.8333333333333334	0.6666666666666666	0.8125	no
MiranhaCarapana-Tapuya	Chayahuita	I	cui	ka	2	0.75	1.0	0.8333333333333334	0.6666666666666666	0.8125	no
MiranhaCarapana-Tapuya	Andoa	I	cui	kijá	2	0.75	1.0	0.75	0.6666666666666666	0.7916666666666666	no
MiranhaCarapana-Tapuya	Shiwilu	I	cui	kua	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
MiranhaCarapana-Tapuya	Urarina	I	cui	kan̪ɨ̃́	2	0.75	1.0	0.9285714285714286	0.8333333333333334	0.8779761904761906	no
MiranhaCarapana-Tapuya	Zaparo	I	cui	kwihya	2	0.75	0.8333333333333334	0.8333333333333334	0.7619047619047619	0.7946428571428572	no
Shiwilu	Iquito	I	kua	kí=	2	0.5833333333333333	0.6666666666666666	0.5	0.41666666666666663	0.5416666666666666	no
Shiwilu	Ocaina	I	kua	xõ	2	0.625	1.0	0.8333333333333334	0.6666666666666666	0.78125	no
Shiwilu	Ocaina	I	kua	xõɯ̃	2	0.75	1.0	0.875	0.7333333333333333	0.8395833333333333	no
Shiwilu	WitotoMinica	I	kua	kúe	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
Shiwilu	WitotoMurui	I	kua	kue	2	0.75	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.3541666666666667	no
Shiwilu	WitotoNipode	I	kua	kúe	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
Shiwilu	Arabela	I	kua	kwa	2	0.5833333333333333	0.3333333333333333	0.3333333333333333	0.25	0.37499999999999994	no
Shiwilu	Chayahuita	I	kua	ka	2	0.45833333333333337	0.3333333333333333	0.5	0.41666666666666663	0.42708333333333337	yes
Shiwilu	Andoa	I	kua	kijá	2	0.75	0.75	0.625	0.5333333333333333	0.6645833333333333	no
Shiwilu	MiranhaCarapana-Tapuya	I	kua	cui	2	0.75	0.6666666666666666	0.5	0.41666666666666663	0.5833333333333333	no
Shiwilu	Urarina	I	kua	kan̪ɨ̃́	2	0.75	0.8571428571428571	0.7142857142857143	0.6666666666666666	0.7470238095238095	no
Shiwilu	Zaparo	I	kua	kwihya	2	0.75	0.6666666666666666	0.6666666666666666	0.619047619047619	0.675595238095238	no
